用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）
公子姬玥_古风动漫,"
                    #复工# #当父母得知你要复工后# 我爸妈一直担心我的安危打死不让我上班。因为我们这受疫情印象比较严重。之前也是一直相安无事的在家办公，现在公司的在操作真的是绝了。我为什么要写这个？我是谁我在哪里？不能回公司办公就要开证明，不然就扣钱，哪怕你在家办公也要扣你钱，真的绝了。我在家办公我照样把每天该做的事做了。因为办公地点不同就要扣钱我理解不了。更可怕的是交通管制无法回苏要开证明？怎么开？怎么证明这条路没有恢复通行？怎么证明大巴汽车没有？还有社区门禁什么的都要证明？我怎么证明我去闯一下然后把被拦下来的视频拍一下？？妈的绝了。 收起全文d
                ",  ,1,4,"
                        今天19:58
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5626913663/IwMf2BSCC?refer_flag=1001030103_,-1,,,,
#NAME?,"
                    父母返工，家里剩我一个人。也不知道要说什么，和父母说别担心，我自己没啥。但想想独居还没法出门还是有点孤独的。希望疫情早点过去，早点毕业，早点赚钱。 ​                ",  ,2, ,"
                        今天19:49
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5158697148/IwMbdmqAh?refer_flag=1001030103_,-1,,,,
April赵赵赵,"
                    这次疫情让我忽然明白了很多事情，把生活按下暂停键后多了更多的时间思考🤔终于明白父母口中的“正经工作”是什么了，他们都开始学着不让我们担心，我也该渐渐开始充实自己，健身、学习，积攒离开现有LJ工作的底气；扛过这次每日每夜的朝夕相处，无聊引发的暴躁，无理由发脾气，和……短时间无收入就结婚吧～这大概就是爱了；多年不联系的人，也没必要联系，有些无意义的社交，可以没有，朋友就是那些你发个不痛不痒的微信或朋友圈，她看到也回复，你生气骂人，她比你骂的还狠的人，要珍惜前几天许愿，大家的愿望总结起来就是开心，自由，稳定，安逸，有钱，嗯，要努力啊，希望多年以后所有的愿望都能实现祝大家工作顺意，爱情美满，父母身体健康，友谊地久天长。 收起全文d
                ",  ,2,1,"
                        今天19:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1829294332/IwM06vXEr?refer_flag=1001030103_,-1,,,,
武汉晚报,"
                    #致敬一线战疫者# 【9岁女儿给战“疫”一线的爸爸做可以吃的“口罩”】3月1日，正在武汉新洲战“疫”一线的干部陈州在视频中看到了黄冈老家女儿做的“爱心口罩”。  陈州抽空会和父母女儿视频，互报平安，父亲担心儿子口罩够不用，嘱咐他一定要注意防护。一旁的女儿听了，记在了心里。１日，爷爷奶奶包饺子，喜欢做手工的女儿用面皮夹肉馅做了一个""肉馅口罩""，作为礼物送给爸爸。(记者周璐  制作李春 审看蔡敏莉 通讯员路庆伟 宋晓辉)#9岁女儿给战疫爸爸做肉馅口罩#  L长江日报的微博视频 收起全文d
                ",  , ,4,"
                        今天19:11
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1879778060/IwLVQ582e?refer_flag=1001030103_,-1,,,,
周芳如GD,"
                    对着马桶说真相周芳如小学的时候父母教育我要诚实比如打破了杯子要承认拿了他们的零钱要报告中学以后父母教育我要适当诚实有些事要学会分是该说还是不该说出来工作后父母常常担心我太诚实太正直而惹祸告诉我时时要记得闭嘴搞得我经常拉肚子2020.2.8 ​                ",  , , ,"
                        今天18:44
                        ",前置双摄vivo X9s,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2769003954/IwLKI5xzL?refer_flag=1001030103_,-1,,,,
重庆消防,"
                    【突击队长刘江：方舱里，医护人员就是逃生指示牌】为了不让自己分心，全力以赴奋战“疫”线，刘江年前就将其两个孩子送到父母家，托其照顾。由于父母身体欠佳，刘江并未将其参加“方舱医院防火监督党员先锋突击队”的消息告诉自己的父母，避免他们担心，也许这就是“善意的谎言”吧！  O突击队长刘江：方舱里，医护人员就是逃生指示牌 收起全文d
                ",6,1,2,"
                        今天18:05
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/3353369022/IwLuVacp2?refer_flag=1001030103_,-1,,,,
大金鱼DD,"
                    今天拿点东西给我爸临走的时候塞了这三瓶消毒液给我还问我儿子这段时间身体怎么样顿时我的情绪上了来眼泪在眼眶打转年纪越来越大后自己最担心的就是父母的健康就是会好害怕那种感觉特别是我爸又烟又酒的真的现在所有的希望就是家人平安，健康就已经十分满足了 2广州 ​                ",  , , ,"
                        今天18:00
                        ",荣耀20 PRO,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1762743084/IwLsSmyCq?refer_flag=1001030103_,1,亲人,健康,健康保险,担忧
丹丹丹曾,"
                    看来我还没有长大，现在还没学会怎么样不让父母担心，怎么样去控制自己的情绪。但是我真的真的过的好不开心好不开心 ​                ",  ,1, ,"
                        今天17:51
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2799041081/IwLphzzYp?refer_flag=1001030103_,-1,,,,
河南网信,"
                    【#河南战疫我们在行动# 网络作品展播（279）：指尖战“疫”：为您的心理戴“口罩”】作品简介：近期新型冠状病毒传播广泛，为了响应国家的号召，不出门、不访友，大家天天呆在家中。久而久之，一部分同学会出现随之而来的心理问题得不到解决。担心自己是否感染？长期在家不知道和父母如何沟通？快毕业了，心理焦急怎么办？在家自律性差没有学习动力该怎么办？那么针对疫情期间会遇到的心理问题，特殊教育手语班的同学们有一些不错的建议。作者：魏宁 王莹莹#抗击疫情我们在一起##联防联控河南在行动##没有斗篷的河南人也是superman# 点击链接查看： L河南网信的微博视频 收起全文d
                ",1, ,1,"
                        今天17:40
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5367034453/IwLkJ6GQh?refer_flag=1001030103_,-1,,,,
楼兰情感,"
                    我和男友是朋友介绍认识的，首先我工作稳定，一个月能拿6000 左右，爸妈给我全款买了房，开始知道他家是贷款买房，相处也觉得人很好很踏实，在一起之前他也跟我说房贷现在是他和父母共同还，婚后他爸妈来还，让我不要担心。他普通公务员一个月4300，年中会有奖金，但是一个月房贷6800。相处三个月了他爸妈也从来没提到我，也不说见我，我就很纳闷问他，他说他觉得爸妈可能没准备好，怕我见了会觉得不好，说他家里从来没见过他女朋友，我心里有点不舒服。然后他跟我说想把老家的房子卖掉一套一部分给他爸妈当养老金一部分还房贷，我就问他以后房贷怎么办，他就让我跟他一起还，我说我不，他就说那他还，我负责家里的开销，我也拒绝了，他就说呢房子你也住呢，我就开始觉得有些失望了，我自己的房子也有开销，感觉有些委屈，我爸妈让我这两年就结婚，但是他家房子明年才能交工，根本不可能实现，再加上聊生孩子的话题他也不让请月嫂住月子中心，突然很害怕未来，感觉有点不合适，我爸妈很喜欢他，觉得他很好，我也到了适婚年龄，让我别太挑剔了。我现在很崩溃不知道怎么办#楼兰情感##男朋友# 收起全文d
                ",  ,3,110,"
                        今天17:36
                        ",楼兰情感超话,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/3485013713/IwLj7vQGh?refer_flag=1001030103_,-1,,,,
悠若yy,"
                    #生活记录# 现在是越来越觉得人老了是越来越可怜，担心给孩子们带来麻烦，担心被孩子们嫌弃，担心住一起有矛盾……这种体会随着父母的年老感受越深。但说到相处，有又几个儿女能做的到位呢？一个月的相处感受最深的就是媳妇再怎么做，也终究是个外人。儿女和父母在吵架，转个身父母什么都不记恨，而媳妇呢，你就是做的在好，在公婆眼里也只是个外人。 收起全文d
                ",  , , ,"
                        今天17:33
                        ",Redmi K20 Pro 真旗舰,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/5781007587/IwLieeyyH?refer_flag=1001030103_,-1,,,,
Dear-抱朴,"
                    我觉得吧，你要不要联姻还得问你们爹爹同不同意，有哥哥弟弟的也得问问他们同不同意，他们都不同意，你们也就不用担心虽然你们都是各自父母的小公主，但是大萌的不和亲是大萌老朱家公主，也不要回大萌了，难不成还想接受三从四德的洗礼嘛还有，谁告诉你们的不联姻就没有毕业证的哈哈哈哈哈哈可乐死我了天还没塌呢最重要的，如果有人怂恿你们上街，一定要让他去打头阵他都不去你凭啥要去啊好好学习成为更好的自己做自己的主人公才是最要紧的事啊 收起全文d
                ",  , ,1,"
                        今天17:31
                        ",热巴的爱丽丝,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6022217760/IwLhbf2sE?refer_flag=1001030103_,-1,,,,
木子李的阿静,"
                    父母对孩子的期望里出现最多的字眼是“幸福”、“快乐”、“健康”他们往往忽略了这些期望往往也是他们内心最向往的，因为他们体味到生活虐我千百遍的“快感”。就像苏轼所言“惟愿我儿愚且鲁，无灾无难到公卿”大抵父母之心就是这般朴实吧。随着子女的长大，他们开始担心子女的工作，未来人生的每一步不要走的太艰难才好。正如作家张晓风说的那样：“我，一个母亲，交给社会一个孩子，社会能回报给我一个怎样的孩子”。我想这其中有很多不确定的因素和不可控的因子作用于这个孩子身上，一步步形成孩子最终的行为方式和做人准则，往大方面说对他（她）三观的形成有着至光重要的作用。现在愈发懂得“父母是孩子的第一任老师”的重要性，也逐渐明了国家倡导家风的意义所在。这些是促成他日后坚定意志的源泉。最后以作家刘瑜的话做结：愿你有好运气，如果没有，愿你在不幸中学会慈悲。愿你被很多人爱，如果没有，愿你在寂寞中学会宽容。愿你一生一世每天都可以睡到自然醒。希望今年的教学工作顺利开展！ 收起全文d
                ",  , , ,"
                        今天16:42
                        ",nova5Pro人像超级夜景,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6627219488/IwKXekg1o?refer_flag=1001030103_,-1,,,,
冷知识收发站,"
                    #不期待开学的真实原因# 学习的压力将会再次扑面而来，担心考试、担忧排名、以及父母会失望的表情#单腿蹲挑战# L冷知识收发站的微博视频 ​                ",  , ,1,"
                        今天16:39
                        ",小米手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/7287610857/IwKVZbRXe?refer_flag=1001030103_,-1,,,,
王主任-儿童弱视讲师,"
                    受疫情影响中小学推迟了开学时间，眼看家长们就要返岗复工，不少父母担心孩子不能在家自主学习，别急！家长们，娃们在家主动学习，全靠这6招！1. 和孩子一起找困难  2. 认真倾听孩子的想法3. 和孩子一起制定计划  4. 给孩子一定的自主性5. 充分肯定孩子的进步  6. 保持小伙伴间的联系 ​                ",  , ,1,"
                        今天16:31
                        ",皮皮时光机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/2425387582/IwKSZBQO3?refer_flag=1001030103_,-1,,,,
不可不知不问,"
                    #大连未出现大量韩籍日籍人员涌入情况# 我父母就住在机场街道，所以我非常担心，大连的工作做的挺好的，希望还是不要马虎，晚上赶飞机的时候看见辛寨子机场保洁人员室外不戴口罩，室内口罩露出鼻子，忘了拍照留存了，还是要加强管理。 ​                ",  , ,1,"
                        今天15:35
                        ",iPhone XS Max,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/3686993424/IwKwkeqN9?refer_flag=1001030103_,1,亲人,健康,健康保险,担忧
青青芷萝,"
                    太久无法出门感觉容易引起焦虑，自己是宅惯了的，所以出不出门感觉无所谓吧。而父母一惯是喜欢到小区散步的，现在因为担心，母亲从1月24日起从未出门。长期闷在家，母亲最近的情绪就很焦虑，让人忧心。 ​                ",  , , ,"
                        今天14:55
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/3916063278/IwKfLF0BT?refer_flag=1001030103_,1,父母,健康,健康保险,担忧
孝感网槐荫论坛,"
                    #我们共度难关 孝感加油#一个党员的朴实心愿：疫情早点结束，我想给父母泡脚2月20日下午，一辆防疫宣传车缓缓驶过云梦县“京都名城”小区，司机代中华停下车，摇下车窗，探头望向家的方向，那里有他牵挂的父母和妻儿。代中华尤其担心年迈又行动不便的俩老，此刻父母近在咫尺，却有如远在天涯。想回去看看，挣扎半天还是作罢。红着眼眶，代中华重新发动车辆，悄然离开。45岁的代中华是云梦县自然资源和规划局的一名普通党员。父亲高位截瘫，常年卧床；母亲3次突发脑溢血，虽然一次次从死亡线上抢救了回来，但也彻底丧失了生活自理能力，照顾俩老的担子就落到了代中华和妻子肩上。多年如一日的悉心照料，代中华的孝行善举在当地传为佳话，他也因此被评为孝感市第九届“十大孝子”，荣获孝感市第五届“道德模范”称号。可突如其来的疫情，让代中华陷入了两难。“你是党员，应该上前线。家里有我照顾爸妈，你就放心去吧！”妻子的话，让代中华下定决心，奔赴防疫一线。从1月24日开始，代中华每天早出晚归，几乎没时间侍奉父母；2月17日，代中华居住的小区实行全封闭管理，他也就再没回过家。期间，妻子来电话说，母亲时常坐在客厅呆呆地看着门口，盼着他回家。妻子的话，揪住了代中华的心，愧疚感涌上心头。因为父母身体原因，代中华从没离开家这么久，老人们已经习惯了有儿子每天陪伴的日子，对他们而言，儿子在，意味着踏实，意味着安稳。他拨通妻子的电话，让她把电话交给母亲，想要对母亲说几句话，可是当母亲接过电话的一刹那，代中华想好的话又不知道从何说起，只是噙着泪，对老人说：“妈，对不起，我很快就会回来的。”电话那头，传来熟悉的叮嘱声，“华儿，注意身体，注意安全……”母亲的话，让代中华强忍着的泪水到底还是流了下来。代中华的工作主要是防疫宣传引导。这些天，他就睡在办公室的沙发上，吃饭就在车里，从早8时到晚10时，驾驶着防疫宣传车一次次穿过大街小巷。途中，遇到未戴口罩的群众，他总会停下车来善意地提醒和劝导。遇到流浪老人，他会拿出口罩帮忙带好。因为顺路，他义务帮京都名城和云天梦境小区居民换煤气、换桶装水、买药……这些生活中的善举在代中华看来是举手之劳，显得微不足道，甚至习以为常。代中华说，为父母尽孝是做儿女的本分，为党和人民尽忠是党员的责任。他最大的愿望，是疫情能早点结束，他能早点回家，先给妻子一个感激的拥抱，再打上一盆热水，为父母泡泡脚、洗洗脚。 收起全文d
                ",  , , ,"
                        今天14:18
                        ",专业版微博,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/2805835370/IwK0WsrY2?refer_flag=1001030103_,-1,,,,
为cherry打call,"
                    快睡着的时候我才想起来还没有给家里打电话报平安，又强打起精神，给家里通了一个电话，爸妈果然还没睡，一直在等我的消息。一旦我出了门，他们就会格外担心，尽管他们非常豁达，但父母终究是父母，永远会担心孩子的安危和生活。照常规汇报了这次出行的情况，又问了家里的情况，我安心地挂断了电话。或许我真是一个冷血的人，亲情也比常人淡薄几分，我知道#他们爱我在某种程度上来说##成都婚纱照# 收起全文d
                ",  ,1, ,"
                        今天14:04
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6392689619/IwJVnB4VF?refer_flag=1001030103_,-1,,,,
果然家的柚子,"
                    今天是令父母担心的.小pp ​                ",  , ,1,"
                        今天13:27
                        ",荣耀V10 我AI的快,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/5648529835/IwJGdldVe?refer_flag=1001030103_,-1,,,,
