字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求
有济南地区的寿险和个险的吗，想了解一下,https://tieba.baidu.com/p/5878726831,8,"
            2-11        ",-1,,,,,
请教下大家，25岁应该买什么保险好,https://tieba.baidu.com/p/5701992388,61,"
            2-11        ",1,自己,健康,健康保险,担忧,是
在微信的轻松e买的一份疾病险分月缴费，说是华泰的，但是华泰保,https://tieba.baidu.com/p/5677910470,11,"
            2-11        ",-1,,,,,
"身边的朋友推荐我去香港富通保险公司买保险,有人了解这公司吗",https://tieba.baidu.com/p/6269437905,9,"
            2-11        ",-1,,,,,
大家养老新起航，成为大家保险集团新成员,https://tieba.baidu.com/p/6485403312,2,"
            2-11        ",-1,,,,,
针对父母年龄大的，不想办重疾险的可以看过来，主要是针对住院医,https://tieba.baidu.com/p/6481639223,2,"
            2-11        ",-1,,,,,
本群用于保险知识的沟通，买保障之前不妨进去问问了解过后再买,https://tieba.baidu.com/p/6481849661,0,"
            2-9        ",-1,,,,,
去邮局存款工作人员弄了这个，说是存五年有4.5以上的利息。这,https://tieba.baidu.com/p/6426364352,3,"
            2-9        ",-1,,,,,
发福利了 发福利了针对新型冠状病毒公司推出免费意外险  保额,https://tieba.baidu.com/p/6477812267,2,"
            2-7        ",-1,,,,,
我是一名售险业务员，有需要买保险，或者有保险疑问的都可以找我,https://tieba.baidu.com/p/6295591851,73,"
            2-7        ",-1,,,,,
买保险吧会员2019年签到贴,https://tieba.baidu.com/p/6196612317,88,"
            2-7        ",-1,,,,,
我想问下孩子在学校应该买什么样的保险合适，推荐一下，有意的电,https://tieba.baidu.com/p/6474574686,4,"
            2-11        ",1,儿女,健康,健康保险,担忧,是
公司给投的社保好低，自己每年可以付个8000-12000左右,https://tieba.baidu.com/p/6476164952,1,"
            2-7        ",-1,,,,,
我想买工程机械设备综合保险,https://tieba.baidu.com/p/6476825357,1,"
            2-6        ",1,机械设备,,财产保险,,是
好渠道呢，我的保险当初被误导忽悠了，交了一万六想退保，保险公,https://tieba.baidu.com/p/6444753920,12,"
            2-6        ",-1,,,,,
高性价不，中高端百万保障意外险史带星享百万人生个人意外险,https://tieba.baidu.com/p/6372961613,4,"
            2-2        ",-1,,,,,
BX家园网，感觉都是忽悠人开通,https://tieba.baidu.com/p/5322682044,59,"
            1-31        ",-1,,,,,
惠健康支持19年或29年缴费，相比其他20年或30年缴的重疾,https://tieba.baidu.com/p/6391120445,7,"
            1-29        ",-1,,,,,
保险公司会破产吗？保险公司破产个人保单怎么办？,https://tieba.baidu.com/p/6452353171,0,"
            1-19        ",-1,,,,,
转贴:700°商城-史带星享百万人生个人意外险,https://tieba.baidu.com/p/5634446783,5,"
            1-17        ",-1,,,,,
百万人身高额意外且不限社保用药意外险---史带个人意外伤害保险,https://tieba.baidu.com/p/5967913130,14,"
            1-17        ",-1,,,,,
大家保险只做让大家可以信赖的保险 注重客户体验,https://tieba.baidu.com/p/6448972867,1,"
            1-17        ",-1,,,,,
你也买了个“假的”多次赔付重疾险吧？,https://tieba.baidu.com/p/6111188234,1,"
            1-16        ",-1,,,,,
大家财险服务“飞跃” 构建航空医疗救援新模式,https://tieba.baidu.com/p/6446996845,2,"
            1-16        ",-1,,,,,
明白这一点，买保险少花冤枉钱,https://tieba.baidu.com/p/6443091539,0,"
            1-14        ",-1,,,,,
保险防坑指南,https://tieba.baidu.com/p/6443208191,0,"
            1-14        ",-1,,,,,
买保险的注意事项,https://tieba.baidu.com/p/6442892591,0,"
            1-14        ",-1,,,,,
华安保险：了解保险合同，快速读懂有诀窍,https://tieba.baidu.com/p/6442823025,0,"
            1-14        ",-1,,,,,
摆摊小本创业卖纸(1一4元撸货源包邮到家)线上结合线下，,https://tieba.baidu.com/p/6420225930,4,"
            1-10        ",-1,,,,,
大家好，现在摆地摊是越来越难做，本人以前也是长期摆地摊，不过,https://tieba.baidu.com/p/6432394827,3,"
            1-10        ",-1,,,,,
华安保险：读懂保险合同中的“人”和“时间”,https://tieba.baidu.com/p/6437733051,0,"
            1-10        ",-1,,,,,
保险渠道 收中石化中石油充值刮刮卡,https://tieba.baidu.com/p/6349264220,4,"
            1-10        ",-1,,,,,
提供精准意向签单客户，有兴趣老板加微信,https://tieba.baidu.com/p/6436890848,0,"
            1-10        ",-1,,,,,
地中海贫血又称海洋性贫血，是一种遗传性溶血性疾病。特点：轻型,https://tieba.baidu.com/p/6435898197,0,"
            1-9        ",-1,,,,,
为什么会选择保险来做公益？,https://tieba.baidu.com/p/6435855651,0,"
            1-9        ",-1,,,,,
上有老下有小，全家基础怎么安排？,https://tieba.baidu.com/p/6435814018,0,"
            1-9        ",1,全家,健康,健康保险,担忧,是
问一问网上代缴社保可信吗？欢创小宝怎么样？,https://tieba.baidu.com/p/6435489960,1,"
            1-9        ",-1,,,,,
有没有四川广安邻水的，我想买一分保险，可以给我讲讲,https://tieba.baidu.com/p/6427683881,5,"
            2-11        ",1,自己,健康,健康保险,担忧,是
平安小福星怎么样？,https://tieba.baidu.com/p/6425390294,3,"
            1-8        ",1,,,,,是
有学栗子学院的没有，我们这有答案,https://tieba.baidu.com/p/5862774034,17,"
            1-8        ",-1,,,,,
1、被忽悠骗购买，不懂购买的！2、买错，感觉不合适不划算的！,https://tieba.baidu.com/p/6433696174,0,"
            1-8        ",-1,,,,,
保险怎么买，是按斤卖的吗，,https://tieba.baidu.com/p/6401526954,4,"
            2-11        ",-1,,,,,
港险对比 | 安盛AXA跃进 or 友邦AIA充裕，教你怎么,https://tieba.baidu.com/p/6432019971,0,"
            1-7        ",-1,,,,,
血管瘤血管瘤是由血管组织发生的肿瘤或血管畸形，其中80%属先,https://tieba.baidu.com/p/6432013726,0,"
            1-7        ",-1,,,,,
#妍选嘉险# 🎈🎈🎈最近孩子感染流感的特别多，住院的也特别多,https://tieba.baidu.com/p/6431648801,0,"
            1-7        ",-1,,,,,
千麦规划怎么样？,https://tieba.baidu.com/p/6424180959,2,"
            1-6        ",-1,,,,,
本人深圳想买份保险，有的可以联系我15502005497,https://tieba.baidu.com/p/6428050841,0,"
            1-4        ",-1,,,,,
我是中信保诚专业寿险规划师，各位朋友有关于人寿保险方面的问题,https://tieba.baidu.com/p/6427217934,0,"
            1-4        ",-1,,,,,
有病史也不怕，糖尿病，冠心病，三高，脑梗，心梗等，带病投保【,https://tieba.baidu.com/p/6426349858,0,"
            1-3        ",-1,,,,,
怎么买一份适合自己的年金险》？？？？,https://tieba.baidu.com/p/6424833161,0,"
            1-2        ",1,自己,养老,年金保险,,是
我今年29了，身体健康，想给自己跟老婆买保险，保障健康跟疾病,https://tieba.baidu.com/p/6417754481,6,"
            1-2        ",1,自己/配偶,健康,健康保险,担忧,是
#妍选嘉险#自己买了保险，要不要告诉家人？为什么要把买的保险,https://tieba.baidu.com/p/6424556756,0,"
            1-2        ",-1,,,,,
复兴联合的倍吉星重疾险怎么样？值得买吗？,https://tieba.baidu.com/p/6424322373,0,"
            1-2        ",1,,,,,是
保险拒赔怎么办？,https://tieba.baidu.com/p/6424107512,0,"
            1-2        ",-1,,,,,
中国人寿2020开门红产品鑫享至尊(庆典版)怎么样？值得买吗?,https://tieba.baidu.com/p/6424072806,0,"
            1-2        ",1,,,,,是
罗胖买保险找的也是保险经纪人😄我的一位客户也这样说：“我也是,https://tieba.baidu.com/p/6423844542,0,"
            1-2        ",-1,,,,,
3000万杀妻骗保案终于宣判了,https://tieba.baidu.com/p/6423701522,0,"
            1-2        ",-1,,,,,
平安新年开门红产品金瑞人生20,https://tieba.baidu.com/p/6423689345,0,"
            1-2        ",-1,,,,,
买保险，找代理人和经纪人有什么不一样？,https://tieba.baidu.com/p/6420656386,2,"
            1-2        ",-1,,,,,
小孩子买保险哪种最好？,https://tieba.baidu.com/p/6422889314,2,"
            1-1        ",-1,,,,,
买份性价比高的重疾险,https://tieba.baidu.com/p/6414555757,7,"
            2-11        ",-1,,,,,
交通意外保险多久生效？我打算12月31日和家人一起乘坐飞机到深圳,https://tieba.baidu.com/p/6415073008,4,"
            12-31        ",1,全家,意外,意外保险,担忧,是
小孩的重疾险 胜在保额越多越好 不仅保额多 价格也要便宜才行,https://tieba.baidu.com/p/6419412261,0,"
            12-30        ",-1,,,,,
人到中年，保障意识很重要！当步入中年阶段后，很多变动尤其是健,https://tieba.baidu.com/p/6418753939,0,"
            12-30        ",-1,,,,,
佛山居民医疗保险的补充，平安佛医保保障多、保额低,https://tieba.baidu.com/p/6417338017,0,"
            12-29        ",-1,,,,,
重庆市，刚踏入保险行业，人在主城，有需要保险的可以咨询我，虽,https://tieba.baidu.com/p/6416389230,1,"
            12-28        ",-1,,,,,
🇨🇳 金融长城  至尊盈家🇨🇳 第5年  返还 30%保额，,https://tieba.baidu.com/p/6414960382,0,"
            12-27        ",-1,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（三）,https://tieba.baidu.com/p/6408826143,2,"
            12-27        ",-1,,,,,
3年期好产品，即将下线，倒计时4天，错过再无。,https://tieba.baidu.com/p/6414395195,0,"
            12-27        ",-1,,,,,
VX：Oh_heheda想了解一下保险，可以推荐一下呀，有合,https://tieba.baidu.com/p/6414199922,0,"
            12-27        ",-1,,,,,
我想得到这套定制的营销海报，麻烦大家帮我扫码拿一下吧~ 你也,https://tieba.baidu.com/p/6413939427,0,"
            12-27        ",-1,,,,,
#妍选嘉险# “现价之王”中华保险-中华尊，增额终身寿！中华,https://tieba.baidu.com/p/6412745490,0,"
            12-26        ",-1,,,,,
少儿平安福和少儿国寿福怎么样？哪个好？,https://tieba.baidu.com/p/6411159514,2,"
            12-26        ",1,,,,,是
【2020宝贝卡    成长版】《宝》住院医疗:100万《贝,https://tieba.baidu.com/p/6412346204,0,"
            12-26        ",-1,,,,,
人民网第二届“人民好保险”颁奖典礼，华安保险获三项殊荣,https://tieba.baidu.com/p/6412166987,0,"
            12-26        ",-1,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（一）,https://tieba.baidu.com/p/6408823480,1,"
            12-26        ",,,,,,
一手专业操作信用卡追回利息和违约金.操作成功再收费！需要的滴,https://tieba.baidu.com/p/6410242638,2,"
            12-25        ",,,,,,
国寿福臻享版怎么样？和平安福比哪个好？,https://tieba.baidu.com/p/6411147855,0,"
            12-25        ",,,,,,
如果您近期想购置保险，面对眼花缭乱的产品，不知所措？如果您是,https://tieba.baidu.com/p/6162563720,9,"
            12-25        ",,,,,,
非标体客户，核保结论1、标准体承保：不附加任何条件，按照标准,https://tieba.baidu.com/p/6409430727,0,"
            12-24        ",,,,,,
贫血、性病延期承保问题多贫血是一种症状，而不是具体的疾病,https://tieba.baidu.com/p/6409278243,0,"
            12-24        ",,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（五）,https://tieba.baidu.com/p/6408828134,0,"
            12-24        ",,,,,,
少儿教育金保险哪个好？2020年最新少儿教育年金保险推荐排行榜,https://tieba.baidu.com/p/6408837192,1,"
            12-24        ",,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（二）,https://tieba.baidu.com/p/6408824863,0,"
            12-24        ",,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（四）,https://tieba.baidu.com/p/6408827200,1,"
            12-24        ",,,,,,
是重疾险还是绝症险？100种重疾的陷阱逐条解析（六）,https://tieba.baidu.com/p/6408828963,0,"
            12-24        ",,,,,,
大家好，男28准备买个健康险，,https://tieba.baidu.com/p/5014344414,79,"
            2-11        ",,,,,,
求指点！怎么买到适合自己的保险？,https://tieba.baidu.com/p/5687812443,32,"
            2-11        ",,,,,,
想去香港买份储蓄保险，请问比较好的吗？,https://tieba.baidu.com/p/6210311781,12,"
            12-24        ",,,,,,
求大神推荐。一家四口，两个大人都是37岁，女儿7岁，儿子半岁,https://tieba.baidu.com/p/6405279671,9,"
            2-11        ",,,,,,
[微笑]很多人问咱父母的年龄，能买什么保险，我给朋友们简单说,https://tieba.baidu.com/p/6406267907,0,"
            12-22        ",,,,,,
网金保险代理公司欢迎你！,https://tieba.baidu.com/p/6404378389,0,"
            12-21        ",,,,,,
养老教育必备年金险金瑞人生和财富金瑞平安开门红12月12日开,https://tieba.baidu.com/p/6404144633,0,"
            12-21        ",,,,,,
养老教育必备年金险金瑞人生和财富金瑞,https://tieba.baidu.com/p/6404135230,0,"
            12-21        ",,,,,,
发生意外就赔？！是我太天真了吗？,https://tieba.baidu.com/p/5689194769,11,"
            12-21        ",,,,,,
冬天的急救车往常多了些？ 这个星期，公司楼下急促的救护车,https://tieba.baidu.com/p/6401543416,0,"
            12-19        ",,,,,,
儿童医疗保险要不要买？孩子有少儿医保了吖，不用了吧一般情况,https://tieba.baidu.com/p/6400232086,0,"
            12-19        ",,,,,,
想去香港买份储蓄保险，请问比较好的吗？,https://tieba.baidu.com/p/6224580416,7,"
            2-11        ",,,,,,
平安代理人为您诚信服务。需要加微312632452,https://tieba.baidu.com/p/6399523331,0,"
            12-18        ",,,,,,
“命运是个不耐烦的监考老师，它一再督促我早点交卷。可我不，我,https://tieba.baidu.com/p/6399385298,0,"
            12-18        ",,,,,,
我可以帮你全额退。我总结的9个常见的保险违规销售手段1、夸大,https://tieba.baidu.com/p/6396697213,0,"
            12-17        ",,,,,,
产品简介家和万事兴，敬老要先行 全方位关爱老年人健康的“孝行,https://tieba.baidu.com/p/6213474023,0,"
            8-2        ",,,,,,
分享：理性投保，不要让你“被推销”,https://tieba.baidu.com/p/5974703893,0,"
            12-10        ",,,,,,
是什么让张觉玲在太平坚持做了10年呢,https://tieba.baidu.com/p/5747588162,1,"
            6-15        ",,,,,,
想买车险,https://tieba.baidu.com/p/5119784651,11,"
            6-3        ",,,,,,
网上买保险靠谱吗？为什么比销售人员那儿便宜？有没有坑？,https://tieba.baidu.com/p/6169161898,2,"
            6-26        ",,,,,,
医疗险都有直付和垫付了，还要买重疾险吗？一般来说，有垫付或者,https://tieba.baidu.com/p/6395255372,0,"
            12-16        ",,,,,,
分享：买保险，性价比高≠合适,https://tieba.baidu.com/p/5963722282,0,"
            11-29        ",,,,,,
保险规划要慎重，关系到家庭一辈子！,https://tieba.baidu.com/p/5745990628,2,"
            6-14        ",,,,,,
问一下，旅游保险可以当天买吗？,https://tieba.baidu.com/p/6229599273,1,"
            8-21        ",,,,,,
【保险大咖秀】资深保险专家在线解答，欢迎垂询,https://tieba.baidu.com/p/4703713311,10,"
            7-3        ",,,,,,
同方全球臻爱优选丨定寿地板价再次刷新！,https://tieba.baidu.com/p/6350648728,1,"
            11-22        ",,,,,,
想了解重疾险,https://tieba.baidu.com/p/5910140087,31,"
            2-11        ",,,,,,
问一下，买重疾需要附加轻症吗？,https://tieba.baidu.com/p/5689175995,44,"
            10-31        ",,,,,,
河南地区要买保险的，可以咨询我。中立客观的保险经纪人，不倾向,https://tieba.baidu.com/p/6111775615,0,"
            4-24        ",,,,,,
支付宝：好医保，住院医疗    这个保险具体可以报哪些？,https://tieba.baidu.com/p/5651047089,10,"
            8-28        ",,,,,,
我想买份保险 希望做保险的来联系我17742432084我不懂,https://tieba.baidu.com/p/5892209954,11,"
            12-9        ",,,,,,
本人女，想买个健康险，希望女工作人员能帮我,https://tieba.baidu.com/p/5519691293,9,"
            12-9        ",,,,,,
关于保险的各个保险公司与保险产品的区别,https://tieba.baidu.com/p/5790527885,2,"
            7-13        ",,,,,,
如果您真的想改变现状，突破自己，实现自己人生价值，使自己的事,https://tieba.baidu.com/p/6324555897,0,"
            11-4        ",,,,,,
【除了意外险都是骗子】尤其是所谓的投资理财险【亲身经历】,https://tieba.baidu.com/p/5907926177,28,"
            10-21        ",,,,,,
我是太平洋保险公司的，有问题随时来电咨询，或加微信都!173,https://tieba.baidu.com/p/6327465329,0,"
            11-6        ",,,,,,
买保险吧吧主招募结果公示,https://tieba.baidu.com/p/6153328143,1,"
            6-5        ",,,,,,
我是温州中国人寿的从业人员，有什么关于理财产品，寿险，重疾，,https://tieba.baidu.com/p/6245860044,0,"
            9-4        ",,,,,,
交通意外险必须买吗？,https://tieba.baidu.com/p/6113517623,0,"
            4-26        ",,,,,,
想给孩子准备一份教育金，婚嫁金，买车买房的首付，现在就可以行,https://tieba.baidu.com/p/6270147485,0,"
            9-24        ",,,,,,
网金保险代理公司，有兴趣的朋友进来了解一下！,https://tieba.baidu.com/p/6385602197,0,"
            12-10        ",,,,,,
微信合并管理 拓客引流 友客云crm 免费试用,https://tieba.baidu.com/p/6361371211,0,"
            11-27        ",,,,,,
最好的人生状态，安于得失，淡于成败，依旧向前，你很自由，充满,https://tieba.baidu.com/p/6384485543,0,"
            12-10        ",,,,,,
在目前低利率环境下，最低标准1万元开一个账户，账户随时追加支,https://tieba.baidu.com/p/6394527252,0,"
            12-16        ",,,,,,
网红理财险？劝你千万别轻易投保！,https://tieba.baidu.com/p/5871984520,4,"
            9-7        ",,,,,,
前段时间朋友给孩子买了一份少儿平安福，听说可以保障一百多种疾,https://tieba.baidu.com/p/5735481072,16,"
            6-25        ",,,,,,
年金险，也就是我们经常说的教育金，养老金保险符合以下三项的人,https://tieba.baidu.com/p/6356523661,0,"
            11-24        ",,,,,,
北京地区有关保险方面的问题可以咨询我,https://tieba.baidu.com/p/5692506792,0,"
            5-10        ",,,,,,
这种保险怎么样？,https://tieba.baidu.com/p/5906187315,26,"
            1-4        ",,,,,,
基金投资需要考虑五大成本是什么？,https://tieba.baidu.com/p/6162884561,0,"
            6-14        ",,,,,,
水滴保险商城保险首选平台,https://tieba.baidu.com/p/6326246526,0,"
            11-5        ",,,,,,
为什么选富通保险？,https://tieba.baidu.com/p/6253503408,2,"
            9-12        ",,,,,,
如果担心身故风险，可以考虑再投一份定期寿险因为重疾险中，如果,https://tieba.baidu.com/p/6353411166,0,"
            11-22        ",,,,,,
天安财险怎么样呢？,https://tieba.baidu.com/p/5951856237,1,"
            11-16        ",,,,,,
上班族应该买哪些保险？能得到保障吗？,https://tieba.baidu.com/p/6175363240,0,"
            6-26        ",,,,,,
华夏人寿的服务怎么样，有知道的吗？,https://tieba.baidu.com/p/6233284155,2,"
            10-27        ",,,,,,
产品简介幸福人生，健康相伴；爱家人，爱自己。 公司70周年庆,https://tieba.baidu.com/p/6213472303,0,"
            8-2        ",,,,,,
平时出行意外险该选哪个？,https://tieba.baidu.com/p/6336204057,4,"
            11-13        ",,,,,,
分享：理性投保，不要让你“被推销”,https://tieba.baidu.com/p/5974700700,0,"
            12-10        ",,,,,,
国寿“鑫享至尊（庆典版）”年金险怎么样？没有对比就没有伤害！,https://tieba.baidu.com/p/6298905910,0,"
            10-16        ",,,,,,
周末打算去周边城市自驾游，需要买旅游保险吗,https://tieba.baidu.com/p/5841509110,3,"
            8-16        ",,,,,,
蜗牛保险医院为你介绍保险的作用,https://tieba.baidu.com/p/6037556088,0,"
            2-16        ",,,,,,
在人的一生中，可能会遇到很多风险。比如，如果发生癌症，没有二,https://tieba.baidu.com/p/6322775684,0,"
            11-3        ",,,,,,
当做保险的朋友让你买保险时，你该如何应对？,https://tieba.baidu.com/p/5526019168,6,"
            12-1        ",,,,,,
微民保险上的意外险有什么推荐的吗？,https://tieba.baidu.com/p/6278551127,2,"
            9-29        ",,,,,,
常青树多倍版核心优势 1.最高可赔7.9倍基本保额：轻症保额,https://tieba.baidu.com/p/5936974246,1,"
            11-7        ",,,,,,
[惊讶]原位癌别家不赔？没事，华夏常青树多倍版，保！患上轻症,https://tieba.baidu.com/p/5797495239,1,"
            2-26        ",,,,,,
用100万存款支付100万医疗费，证明你很有钱；用1万保费支,https://tieba.baidu.com/p/5949808142,1,"
            11-21        ",,,,,,
什么是强制拍卖 强制拍卖有什么程序,https://tieba.baidu.com/p/6162882977,0,"
            6-14        ",,,,,,
分享：【高血压可不可以买保险】可能因为生活压力比较大，或者是饮食上,https://tieba.baidu.com/p/5723884399,0,"
            5-30        ",,,,,,
我想给孩子买份保险 有什么好的类型,https://tieba.baidu.com/p/6298303649,0,"
            10-15        ",,,,,,
本人从事保险工作多年，咨询不收费 ，解答不要钱，即使您没来找,https://tieba.baidu.com/p/6394211392,0,"
            12-15        ",,,,,,
签了两份百万医疗保险超e保,https://tieba.baidu.com/p/6393172057,0,"
            12-15        ",,,,,,
保险很多人不懂，也不知道。部分人说保险是骗人的，我不想去指责,https://tieba.baidu.com/p/6393164721,0,"
            12-15        ",,,,,,
为什么支付宝里的保险都很便宜,https://tieba.baidu.com/p/6145486794,6,"
            12-15        ",,,,,,
重疾保险里面的头等舱,https://tieba.baidu.com/p/5633454124,2,"
            10-7        ",,,,,,
上海安联意外险责任主要包括：意外身故、意外高残、意外医疗。只,https://tieba.baidu.com/p/6376824900,0,"
            12-5        ",,,,,,
忙了十多天才把客户的保险做下来，虽然有的条款做了免责，客户已,https://tieba.baidu.com/p/5855249564,0,"
            8-25        ",,,,,,
明明买的是保障，为什么被骗？一、卖保险的代理人不专业，没有根,https://tieba.baidu.com/p/6392282283,0,"
            12-14        ",,,,,,
代理中英和阳光家，重疾险，理财，意外伤害，交通出行险等等，辽,https://tieba.baidu.com/p/6298240882,1,"
            12-14        ",,,,,,
进出口货运险怎么办便宜？,https://tieba.baidu.com/p/6389367358,1,"
            12-13        ",,,,,,
平安保险的平安福怎么样，想给小孩子买性价比高吗,https://tieba.baidu.com/p/5526271987,26,"
            12-13        ",,,,,,
有深圳华夏保险的代理人吗,https://tieba.baidu.com/p/5796427521,4,"
            12-13        ",,,,,,
请加我微信了解保险,https://tieba.baidu.com/p/6324537904,0,"
            11-4        ",,,,,,
首个能返还保费多次重疾赔付保险---长城人寿吉祥人生重大疾病险,https://tieba.baidu.com/p/5293981464,7,"
            11-28        ",,,,,,
分享：很庆幸能够成为这样一批有情怀之人创办的公司一份子。周先生是中,https://tieba.baidu.com/p/5693807411,0,"
            5-11        ",,,,,,
朋友，来保险公司上班吧！政策和趋势告诉你理由！,https://tieba.baidu.com/p/6324568834,0,"
            11-4        ",,,,,,
