用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）
白菜天天挖,"
                    沁漓 罗汉果，27.3入果径51-54mm中果，到手共12个，罗汉果泡水喝，润肺止渴，雾霾或上火，咽喉不舒服等，都可以喝点~ ​                ",  ,1,7,"
                        02月21日 22:57
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2059767977/Ivh8DzCnf?refer_flag=1001030103_,-1,,,,
喜之郎之QQ糖,"
                    换季、抽烟、咽喉不舒服日本龙角散喉一定要试试！秋季干燥和雾霾对呼吸道影响较大造成咽炎，龙角散具有清肺、缓解痰多，咽喉肿痛、咽喉炎症的效果！ ​                ",  , , ,"
                        02月21日 20:54
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1817831890/IvgkMpQ6a?refer_flag=1001030103_,-1,,,,
立秋的小狮子,"
                    停工停学的半宵禁时期，连太阳公公都罢工了，雾霾天笼罩了一切！不舒服…… ​                ",  , , ,"
                        02月21日 08:40
                        ",iPad,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/6327757329/IvbwzeuzE?refer_flag=1001030103_,0,,,,
莱导,"
                    #主妇日记#D4    一小时前无意间发现@梦遥-遥大哥 在开直播，她刚从西班牙回来，接着要在家隔离14天，还看到连线了在武汉的万总，想到去年一起录节目的时候，好像没过几天。今年的《中国味道》方案也都策划完了，就等着去央视给领导汇报了，但现在看来，似乎有些遥远，这两天北京的疫情貌似又严峻了，节目不做还可以再准备，一定希望朋友们都好好的。    今早起床的时候就有些不舒服，嗓子难受浑身疼，果然一看雾霾了，这几年一雾霾嗓子就肯定有反应。每天永远是从准备做饭开始的，今天直播中梦遥还问在家待着洗不洗脸，确实，不洗，起码不天天洗。但随着每日做饭的油烟，发现不见人也得自己呵护着点日渐衰老的皮肤，还应该坚持抹隔离霜，隔离的日子用隔离霜，很有道理啊！    学校作业还需要时不时给小朋友拍点做家务的照片，今天中午的肉就剩培根了，这几天的五花肉一直被抢光，不知道大家有没有同感？我叫他帮我做金针菇培根卷，最简单的操作卷起来插根牙签，做完拍完赶紧走。其实亲子厨房都是扯，厨房主妇最怕孩子来祸祸，既要小心油烟烫又要小心刀具切，就好像今天，孩子一来厨房就摸菜刀，安全教育说了一遍遍，成长总是要疼了才记得住。看照片孩子的头发好长了，眼看着也没可能带他出去理发了，看来过两天又得我上手，小时候用的电推刀好像接触不良了，希望还能凑合用一次。    下午处理着公司协会公号的选题，关照着小朋友的手账作业，想起来之前若道占星的课程回放还没看完，干脆利用这段时间把占星知识再巩固一下吧。这几年一直在传媒和占星之间做着斜杠，也一直犹豫要不要彻底跨过界去，我的谨慎不是因为对于前20年职业的不舍，而是觉得自己占星的知识还不够扎实，这方面确实非常天蝎，总是做着最坏的打算，自己的土星处女又很难放过自己，所以今年争取考ISAR吧，考过会更有信心。 收起全文d
                ",  ,3,4,"
                        02月20日 21:12
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1403032577/Iv71n1afK?refer_flag=1001030103_,-1,,,,
方成说进口车,"
                    今天不能直播了雾霾天➕身体不舒服在家休息休息每天一台进口车 2天津 ​                ",3,24,22,"
                        02月20日 15:19
                        ",每天一台进口车超话,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1582012490/Iv4I48C0p?refer_flag=1001030103_,-1,,,,
帆团团21,"
                    大晚上被一股煤油味道弄的超级不舒服。去厨房查看，居然还没有室外的浓。不是家里的煤油漏气，外面星空特别亮，应该也不是雾霾吧，所以？是针对疫情在消毒？ 2荆州·监利县 ​                ",  , ,1,"
                        02月20日 01:48
                        ",HUAWEI Mate 10 Pro,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/3742469380/IuZoZ1e7r?refer_flag=1001030103_,0,,,,
凌宇沫,"
                    今天天津中度雾霾，我嗓子又开始不舒服了。因为窗户似乎有点漏风，所以雾霾也会漏进来。前几个星期有几天偶尔咳嗽，而且嗓子疼。那时候以为喝水少了，结果是因为重度雾霾。雾霾散了，嗓子就不疼了。这两天雾霾又来了，嗓子立刻又开始疼。 ​                ",1,15,167,"
                        02月19日 17:50
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1347462091/IuWgRiD1G?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
一椰冬瓜梨,"
                    今早跑下了一层楼梯才想起我没有戴口罩就冲出门了，转身要回去拿，想起随身放着一个口罩在包里面，是留着备用的，想了想算了，先把它用了吧。其实我的包里都经常会放着两个口罩，一个是雾霾用的3M口罩（除非雾霾天已过，例如夏天时期），一个是医用的，以防感冒咳嗽或者不舒服的时候，可以在公共场所可以带上，所以其实家里刚好还有一盒以前买来备用的一次性口罩，刚好碰上了这个特殊时期，也算是派上了用场现在的口罩存量，大概还能够我用一个月的时间吧 收起全文d
                ",  , ,1,"
                        02月19日 13:14
                        ",360安全浏览器,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1734132452/IuUt8lo2M?refer_flag=1001030103_,-1,,,,
打劫团,"
                    #打劫团# 花茶🍵团go开始吃多油腻腻的饭菜来一杯茶最合适了！拯救不爱喝水星人哈哈哈！！！喝茶也比喝奶茶啊饮料那些健康！非常推荐这几款花茶！很好喝都是无糖的放办公室每天来一包很舒服！滋润肺部SPA，纯天然摆脱糖分负担#雪梨罗汉饮#雪梨和罗汉果是最常喝的草本茶，特别是雾霾天&咳嗽的时候，喝上几杯超舒服的，罗汉果自身就是甜的喝起来清甜，嗓子不舒服都可以喝这个！# 陈皮普洱 # 刮油神器！过年真的太容易胖了，天天吃的油腻，来刮刮油也很不错啊！陈皮和普洱搭配可以帮助分解脂肪陈皮普洱不同于普通普洱，里面有陈皮的清香好喝极了！还能提神醒脑！最适合上班族了！！！【团💰99/两盒。拍下自动改价】 人民日报联名出品   陈皮普洱  罗汉雪梨  2盒装 收起全文d
                ",7,5,4,"
                        02月19日 11:23
                        ",iPhone 11 Pro Max,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5883703789/IuTK3Cosf?refer_flag=1001030103_,-1,,,,
贴博士纯中药脐贴,"
                    最近咳嗽高发季和雾霾频发季节双重因素，贴博士润肺止咳贴成了家庭必备。对风热咳嗽、慢性咽炎、嗓子不舒服、慢性支气管炎等人群有特效✌润肺止咳化痰，生津利咽~ ​                ",  , ,1,"
                        02月17日 08:51
                        ",华为手机 畅享玩不停,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5098911257/IuzTd0RVG?refer_flag=1001030103_,-1,,,,
涤心微语,"
                    封闭半个月了，什么也不想干，整天被疫情传言包围，各种不实或实的消息，有时也分辨不出，不知信谁。身体耽心出症状，每天都量体温，每当咽部不适，就往肺上想，原来咽因雾霾经常不舒服，现在表现更厉害，吃点药好两天，过几天还是不舒，有时胸闷，想着是心情的事，也不敢去医院。我、老婆、孩子都分居三地，最怕接电话，怕有什么不好的消息，害怕也得接，毕竟躲不过，有时也宽慰自己，人都有闭上眼的一天，也就是差几十年，地球几十亿年了，自己的几十年可以忽略不计，虽这么想，还是心里难受！ 2菏泽·曹县 收起全文d
                ",  ,2, ,"
                        02月15日 21:45
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/1470353915/Ium6woQy1?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
一轮又一轮,"
                    话说，现在年轻人已经比我那时候喜欢戴口罩多了，我读书那时候真的很少有人戴口罩，现在大学里春天和冬天都有很多人戴口罩，尤其女孩子，冬天感冒春天过敏，还有据说口罩兜下巴上显脸小。只不过很多人戴的是黑色海绵口罩，这次疫情没啥用。还有，适当囤点口罩还是有用的，我这次家里一盒子白色N95口罩还是前几年雾霾最严重的时候买的，当时买回来后没用得上（觉得造型太夸张戴了也不舒服，而且苏州也就那一年雾霾特别严重后来就好了）。这次网上和店里口罩脱销，一开始就全靠这几个N95拯救全家。 收起全文d
                ",  , ,1,"
                        02月15日 18:54
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/1681112625/IukZ108p4?refer_flag=1001030103_,-1,,,,
2020_xyz,"
                    #根治雾霾的方法#昨天，我谈了污染排放物的阈值。监控和限制污染排放物，只能是在一定程度上缓解雾霾问题。解决雾霾问题，是一个巨大的系统工程。举例来说。一个家庭，七八口人，在一个20平方米的房间里生活。人人都感到不舒服，人人都想住大别墅。这是对美好生活的向往。换做是城市。一个本来100万人口的城市，现在装进去1000万人。结果是，交通堵塞，空气污染，出现了雾霾。这就是工业化水平，以及土地的承载能力的限制。再举例。美国宾州匹兹堡市。匹兹堡曾经的钢铁产量占美国的60%。曾经雾霾笼罩，白天都要开汽车大灯。在城市人口从100万降到30万的几年后，空气变干净了。几年前，我也曾经到过匹兹堡。因此，根治雾霾与工业布局和经济布局密切相关。单纯的靠监控和限排，效果不会太明显。 2北京·傲城融富中心 收起全文d
                ",  , ,2,"
                        02月15日 11:20
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/3263968580/Iui0D0fTG?refer_flag=1001030103_,-1,,,,
蛋挞是你吗蛋挞,"
                    要不是雾霾散了，我还真不知道那边的楼是彩色的没别的，做梦梦见要吃到嘴里的蛋挞没吃着心里多少有点不舒服 ​                ",  ,2,3,"
                        02月15日 09:20
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/5354301474/Iuhe7tJiE?refer_flag=1001030103_,-1,,,,
轻羽依风,"
                    昨天去了趟公司，抄报税，做工资，报个税，税款没划成，咨询12366，说换个电脑也能缴款。办公室空气不流通，头疼。回家好一通担心，怎么都觉得不舒服。雾霾，重污染，一路开车，感觉看到流浪地球的场景今天，上个税申报系统，添加了公司，能查到个税已经申报成功了，但查不到该交的税款，问12366，说是不能换电脑，哪台申报就在哪台缴税。觉得12366的人员水平，着实不敢太相信呀，特殊时期被晃了。个税申报系统，还是不方便呀。 收起全文d
                ",8,3,1,"
                        02月14日 22:44
                        ",HUAWEI Mate 8,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/1045278402/Iud3FxhHE?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
和静净,"
                    大风起，雾霾散。可在风雪交加的天地间也不舒服。 ​                ",  , , ,"
                        02月14日 09:56
                        ",荣耀8X,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6023925210/Iu82g4I6M?refer_flag=1001030103_,-1,,,,
陈庆华大夫,"
                    陈庆华大夫 这几天雾大，还要不要开窗通风？ 专家表示，尚未有确切证据表明雾霾有助于病毒气溶胶传播，大家无需过度恐慌，还是应该适度开窗，保持空气流通。 即使新型冠状病毒能通过气溶胶传播，但主要是密闭环境里中，这里浓度高。一旦与外面空气交换，病毒在气溶胶中的浓度很快稀释掉。这就需要开窗通风。 一般来说雾霾天会经常听到建议，让大家尽量闭门闭窗，防止室外的污染物进入室内。但是闭门闭窗时间长了，室内空气由于不新鲜反而容易造成人们的不舒服。 因此现在非常时期，建议雾霾天尽量不要在早晚时开窗通风，可以选择在中午前后阳光充足的时候再开窗。 因为一般来说，一天当中中午前后是大气扩散程度最好的时候。 不要过于恐慌，除了开窗通风一定要记得戴上今年春节的标配---口罩！戴口罩是很好的防护措施！ 2合肥 收起全文d
                ",  , ,1,"
                        02月14日 09:08
                        ",陈庆华大夫超话,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/1064443200/Iu7IKCVty?refer_flag=1001030103_,-1,,,,
老船长YY,"
                    自由的呼吸空气是多么好因为疫情宅家快一个月了，也是和家人在一起时间最长的日子，白天洗衣服做饭，晚上和先生一起出去遛弯，只是和以往任何时候不同的是戴口罩😷 呼吸有些不舒服，也不敢多说话，啥时候能摘下口罩自由的呼吸空气是多么的向往，尽管我的城市雾霾依然严重 2临汾 收起全文d
                ",  , , ,"
                        02月13日 22:26
                        ",OPPO智能手机,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6620432212/Iu3w9oRXk?refer_flag=1001030103_,-1,,,,
杨文兰一20120127,"
                    宅在家里，看着连续多天的雾霾，让人感觉非常不舒服，明天要降温降雪啦，但愿空气质量能有好转 ​                ",  , ,2,"
                        02月13日 19:43
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/2689471214/Iu2rWpO9G?refer_flag=1001030103_,-1,,,,
素猫999,"
                    早上六点多醒来，嗓子干涩，不舒服，。天雾蒙蒙的，竟然是重度雾霾天。车辆限行，全名居家隔离，天气依然是重度雾霾。外面药厂散发的刺鼻的味道太严重了，真的考虑换个地方居住了，远离城市，去到一个小县城，种菜，养猪，养鸡鸭，过自给自足的生活，真的应该做决定了。只是要得到就要有舍弃，唉，不容易。 收起全文d
                ",  , , ,"
                        02月13日 06:56
                        ",Android,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/5827860729/ItXqxhI8V?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
谨言慎行的某花,"
                    这个雾霾真的杀我，胸腔明显感觉不舒服 ​                ",  , , ,"
                        02月12日 20:05
                        ",Sally’s iPhone XS,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/6092225920/ItTasEOZ9?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
猫在飞fly,"
                    上肢训练对我来说确实有难度，尤其是连续的跪姿半程俯卧撑，真的是累得不行    但练完了也就那么回事，橙子+一杯蛋白粉+氨糖+大力丸=晚饭     雾霾又起来了，嗓子有点不舒服     多喝水 ​                ",3,22,123,"
                        02月12日 17:57
                        ",,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/1196703900/ItSkuAcGX?refer_flag=1001030103_,-1,,,,
不知-199712,"
                    也不知道是不是前两天着凉了，或者最近雾霾严重些，反正这两天特别不舒服，又不敢乱吃药，把鸭梨萝卜汤先安排上，其实水果汤我只钟爱酸梨汤 ​                ",  , , ,"
                        02月12日 17:44
                        ",OPPO智能手机,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/5640023500/ItSeYnSWF?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
用户7389614714,"
                    倒计时第10天，北京是雾霾天气，隔窗外望，心里很不舒服，虽然窝在屋里，每天还能望上几眼窗外的风景，这下好了，什么也看不清，心情很是郁闷，可是再想想奋战在疫情前线的医务人员，他们每天该有多辛苦啊！ 2北京 ​                ",  , , ,"
                        02月12日 17:14
                        ",荣耀V9 我想要的快,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g&page=2,https://weibo.com/7389614714/ItS2JBCWe?refer_flag=1001030103_,-1,,,,
