字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求（是=1，否=0）
闲鱼卖货兼职，每天2小时160左右，有视频教程，免费带你,https://tieba.baidu.com/p/6456695659,37,"
            14:11        ",-1,,,,,
请问一下各位大神人保财险内勤也有任务吗？我今年校招面试上人保,https://tieba.baidu.com/p/6495996646,27,"
            14:11        ",-1,,,,,
每天下午三点预约，晚上8点开抢，十个18元。,https://tieba.baidu.com/p/6498309939,0,"
            14:08        ",-1,,,,,
退保是令很多投保人最为头疼的问题，在大部分情况下，退保都会面,https://tieba.baidu.com/p/6498273181,0,"
            13:49        ",-1,,,,,
免费一份,https://tieba.baidu.com/p/6496692037,4,"
            14:10        ",-1,,,,,
大家帮我看看这个天安人寿逸享人生年金险怎么样…………,https://tieba.baidu.com/p/6430710830,41,"
            14:09        ",1,,,,,是
小白如何买重疾险?,https://tieba.baidu.com/p/6487033644,1,"
            14:08        ",1,自己,健康,健康保险,担忧,是
闲鱼无货源咸鱼无货源0成本操作人人可操作无需成本10分钟学会,https://tieba.baidu.com/p/6495718501,14,"
            14:06        ",-1,,,,,
不懂保险，谁能帮我看看还要不要继续买啊，已经都购买三年，每年,https://tieba.baidu.com/p/6496489300,42,"
            14:05        ",0,,,,,
企业LOGO定制、广告礼品毛巾、赠送客户！！纯棉毛巾、超细纤,https://tieba.baidu.com/p/6473884770,9,"
            2-17        ",-1,,,,,
有没有懂得帮我看看去年买的平安福，这样保划算么，我95年的，,https://tieba.baidu.com/p/6480907074,93,"
            14:03        ",0,,,,,
有没有同买了这份保险的，交流下～,https://tieba.baidu.com/p/6493075560,103,"
            14:01        ",-1,,,,,
保险如何在快手做推广，效果怎么样,https://tieba.baidu.com/p/6498276538,5,"
            13:51        ",-1,,,,,
需要完成公司业绩考核，领取保险补量补人头的 联系我,https://tieba.baidu.com/p/6496763095,12,"
            13:59        ",-1,,,,,
18岁健康保障怎么考虑买  考虑那种比较好？,https://tieba.baidu.com/p/6497043512,23,"
            13:56        ",1,自己,健康,健康保险,担忧,是
百万医疗为什么不能保证续保-------有点长，慢慢看,https://tieba.baidu.com/p/6498237036,0,"
            13:30        ",-1,,,,,
给家里孩子买的小福星20年10万的，一年过后想降低一下档次，,https://tieba.baidu.com/p/6497513419,12,"
            13:57        ",-1,,,,,
汽车保险单丢了怎么补办,https://tieba.baidu.com/p/6498036929,0,"
            11:31        ",-1,,,,,
一位50多岁卖保险的阿姨，因为疫情不能出门在家兼职做秘乐，一,https://tieba.baidu.com/p/6498187042,0,"
            13:01        ",-1,,,,,
了解的越多，越觉得复星联合健康保险的厉害，百年人寿，不愧是重,https://tieba.baidu.com/p/6495448869,8,"
            13:14        ",-1,,,,,
横琴优惠宝重疾险，横琴人寿的这款重疾险好不好,https://tieba.baidu.com/p/6492920604,26,"
            13:10        ",1,,,,,是
代还能存活多久呢？,https://tieba.baidu.com/p/6268839527,42,"
            13:09        ",-1,,,,,
想买保险，有山东济南的代理人吗？私信联系方式,https://tieba.baidu.com/p/6498018856,2,"
            11:50        ",1,,,,,是
哪个保险公司理赔最快,https://tieba.baidu.com/p/5648070733,85,"
            13:06        ",-1,,,,,
注意了！你们的保险都买错了！几大误区千万不要踏入！否则吃亏的,https://tieba.baidu.com/p/6496528509,15,"
            13:02        ",-1,,,,,
都说这次肺炎政府买单，我们来思考三个问题第一，这次之后，你还,https://tieba.baidu.com/p/6493135757,2,"
            12:57        ",-1,,,,,
【我的平安福退保了】,https://tieba.baidu.com/p/6359532552,56,"
            12:51        ",-1,,,,,
保险有需要人头拉新的吗？低价量大,https://tieba.baidu.com/p/6497241042,8,"
            12:34        ",-1,,,,,
有想玩的可以点击图片扫二维码去浏览器下载，然后,https://tieba.baidu.com/p/6496550257,0,"
            2-17        ",-1,,,,,
太平福禄终身重疾险产品全面测评！,https://tieba.baidu.com/p/6498072269,6,"
            12:02        ",-1,,,,,
谁买过珠江人寿保险？可以分享一下经验吗？,https://tieba.baidu.com/p/6497485376,7,"
            12:27        ",-1,,,,,
我那么相信你，你来骗贷？有点诚信好吗？,https://tieba.baidu.com/p/6430038147,33,"
            12:25        ",-1,,,,,
水滴保怎么退保？我母亲入保一年扣一千多还不给理赔客服让退保，,https://tieba.baidu.com/p/6119853537,26,"
            12:22        ",-1,,,,,
各路大神帮看下这个怎么办,https://tieba.baidu.com/p/6495524780,80,"
            12:20        ",-1,,,,,
新冠疫情，带给国人的4点启示,https://tieba.baidu.com/p/6481863371,1,"
            12:15        ",-1,,,,,
买保险被套路了。想退保怎么办？,https://tieba.baidu.com/p/6396789608,14,"
            2-17        ",-1,,,,,
可能你需要一个经纪人帮你买保险，而不是卖你保险,https://tieba.baidu.com/p/6496350237,1,"
            11:45        ",-1,,,,,
【请教贴】望保险行业前辈指点迷津,https://tieba.baidu.com/p/6497306353,21,"
            11:38        ",-1,,,,,
也不算是欺骗，就是很反感这种做法,https://tieba.baidu.com/p/6497846577,4,"
            12:30        ",-1,,,,,
保险不怕没人买单，就怕找不到买单的人。,https://tieba.baidu.com/p/6388672905,48,"
            11:27        ",-1,,,,,
中国人寿携手共赢2020，特召开一场感恩答谢会，到会就有就医,https://tieba.baidu.com/p/6497903521,3,"
            11:26        ",-1,,,,,
大佬们，有没有那个天安人寿逸享人生交5年一年交3万的现金价值,https://tieba.baidu.com/p/6300989318,12,"
            11:08        ",-1,,,,,
保险代理人，除了保险公司，还有考核很宽松也能做保险挣钱的公司,https://tieba.baidu.com/p/6497982514,0,"
            11:01        ",-1,,,,,
给孩子买了一份医疗和意外的综合险，一年365块钱，大家看看怎,https://tieba.baidu.com/p/6106366427,51,"
            10:59        ",-1,,,,,
诚邀全国寿险代理人加盟，保险代理人只能在一家公司工作？只能卖,https://tieba.baidu.com/p/6488621112,20,"
            10:55        ",-1,,,,,
华夏保险守护保防疫保险免费领取啦！,https://tieba.baidu.com/p/6496334851,8,"
            10:42        ",-1,,,,,
华夏保险守护保防疫保险特别报道一个针对新型冠状病毒的免费捐赠保险！保障90天，保额20万！特殊时期特殊保障！,https://tieba.baidu.com/p/6496229071,1,"
            2-17        ",-1,,,,,
2月7号刚上线的，高扶持 2020火刷🔥🔥🔥,https://tieba.baidu.com/p/6497920547,0,"
            10:26        ",-1,,,,,
还是我😂这回想讨论下和保险有关的人民币贬值的问题。假设重疾险,https://tieba.baidu.com/p/6497014018,3,"
            09:19        ",-1,,,,,
专业引流，定向投放，你有产品，我有客源,https://tieba.baidu.com/p/6491530076,1,"
            10:20        ",-1,,,,,
2月7号刚上线的，高扶持 2020火刷🔥🔥🔥,https://tieba.baidu.com/p/6497875271,0,"
            09:58        ",-1,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/6497864399,1,"
            10:03        ",-1,,,,,
领导们好，有没有公司需要保险领取补量的！我这里可以,https://tieba.baidu.com/p/6496292622,5,"
            10:01        ",-1,,,,,
需要完成公司业绩考核，领取保险补量补人头的 联系我,https://tieba.baidu.com/p/6497154103,6,"
            09:55        ",-1,,,,,
我是平安的一名工作人员，经营平安的🚗险，贷款，信用卡，保险，,https://tieba.baidu.com/p/6425329362,4,"
            09:52        ",-1,,,,,
刚刚在水滴保及时雨重疾医疗险，买了一份保险，微信线上的，我今,https://tieba.baidu.com/p/6125583442,73,"
            09:48        ",-1,,,,,
做保险经纪人有发展前景吗？保险中介、保险经纪行业怎么样？,https://tieba.baidu.com/p/6497838733,0,"
            09:33        ",-1,,,,,
我是太原泰康人寿保险公司的，有对泰康保险有疑问的可联系我。,https://tieba.baidu.com/p/5533851270,4,"
            09:25        ",-1,,,,,
上海无锡的保险营销员有吗，来了妹子，咨询点问题，准备入手一个,https://tieba.baidu.com/p/6497524501,8,"
            09:21        ",-1,,,,,
"有需要购买保险的朋友们可以来找我,本人是泰康人寿保险公司的业",https://tieba.baidu.com/p/6374818664,2,"
            09:20        ",-1,,,,,
大家好，梧桐树保险经纪公司怎么样，通过经纪公司线上投保，出险,https://tieba.baidu.com/p/6065824840,38,"
            08:54        ",-1,,,,,
朋友们给说说沙龙活动小妙招,https://tieba.baidu.com/p/6497803723,0,"
            09:04        ",-1,,,,,
健康尊享D——四大升级，最高300万保障！,https://tieba.baidu.com/p/6497787260,0,"
            08:48        ",-1,,,,,
各位朋友即便是卖保险，做专业人员，也请各位有分辨能力，了解清,https://tieba.baidu.com/p/6496634044,0,"
            2-17        ",-1,,,,,
保险公司的都是什么人？买了他们保险以后天天打电话给我，千篇一,https://tieba.baidu.com/p/6496732279,2,"
            08:42        ",-1,,,,,
目前为止，重疾险应属达尔文2号最好了吧，性价比，保障等我还没,https://tieba.baidu.com/p/6496954031,17,"
            2-17        ",-1,,,,,
华夏保险守护保防疫险华夏保险守护保防疫险(0-75周岁保障9,https://tieba.baidu.com/p/6483531450,2,"
            08:41        ",-1,,,,,
华夏保险防疫险《守护保》保险捐赠计划[拳头]勇担社会责任 彰,https://tieba.baidu.com/p/6494700968,1,"
            08:41        ",-1,,,,,
华夏保险防疫险《守护保》保险捐赠计划[拳头]勇担社会责任 彰,https://tieba.baidu.com/p/6487736957,2,"
            08:40        ",-1,,,,,
被保人年龄是3、31，这样选重疾合适吗？,https://tieba.baidu.com/p/6497133471,9,"
            08:38        ",-1,,,,,
论如何正确的购买一份合适的保险,https://tieba.baidu.com/p/5522471008,45,"
            2-17        ",-1,,,,,
大家听说过珠江人寿吗？这家保险公司怎么样呀？,https://tieba.baidu.com/p/6497145088,15,"
            08:37        ",-1,,,,,
中国加油，武汉加油。新冠状病华夏老客户免费领取，非老客户免费,https://tieba.baidu.com/p/6485416471,1,"
            08:37        ",-1,,,,,
之前问过大家关于给刚出生的孩子买的天安健康源悦享的问题，由于,https://tieba.baidu.com/p/6497401424,14,"
            08:34        ",-1,,,,,
请问腰椎手术和颈椎手术，属于保险里的重大疾病理赔范围吗？,https://tieba.baidu.com/p/6154458733,8,"
            08:22        ",-1,,,,,
那个机构做信泰超级玛丽(及时雨2020)这个产品的，我是机构,https://tieba.baidu.com/p/6497162896,5,"
            08:10        ",-1,,,,,
保险买了好多份，可以重复理赔吗？,https://tieba.baidu.com/p/6496122406,1,"
            08:06        ",-1,,,,,
【免费领取防疫险】需要的自己领取就可以了,https://tieba.baidu.com/p/6497367308,2,"
            08:05        ",-1,,,,,
安盛疫无忧意外伤害保险，新冠肺炎战疫前线医护人员亦可投保,https://tieba.baidu.com/p/6497234444,1,"
            08:02        ",-1,,,,,
为什么医生说没事，保险公司却要为难你？,https://tieba.baidu.com/p/6497362925,1,"
            08:01        ",-1,,,,,
平安意外传染病保险性价比怎么样呢？适合哪些人买？,https://tieba.baidu.com/p/6491427905,5,"
            06:54        ",1,,,,,是
有没有信用卡还不上的，需要代还的，只要卡能正常使用就能全额还,https://tieba.baidu.com/p/6475685010,23,"
            06:26        ",-1,,,,,
社保中的医保，你们了解多少呢？如果不清楚，看看这个视频吧,https://tieba.baidu.com/p/6497375939,0,"
            04:52        ",,,,,,
这种情况还能买支付宝里的相互宝吗？,https://tieba.baidu.com/p/6490591357,21,"
            02:46        ",,,,,,
【❗❗江苏省免费领取华夏防疫保险】🌻🌻保险责任：👉新型冠状病,https://tieba.baidu.com/p/6491767900,4,"
            02:12        ",,,,,,
事情还要从18年说起，大三刚过一半，爸爸电话打来说妈妈住院了,https://tieba.baidu.com/p/6496906286,5,"
            01:27        ",,,,,,
保险，我看清了你的套路（保险小白防坑指南）,https://tieba.baidu.com/p/6494764144,36,"
            01:03        ",,,,,,
免费线上办理，无需银行面签秒批秒用，无需收到实体卡可直接绑定,https://tieba.baidu.com/p/6484865679,5,"
            01:03        ",,,,,,
想问一下支付宝上的众安无忧保百万综合意外险怎么样？最近准备买,https://tieba.baidu.com/p/6300787805,60,"
            00:45        ",,,,,,
横琴人寿承保的水滴长期医疗险，怎么样？虽然知道比不上人保的好,https://tieba.baidu.com/p/6495362190,23,"
            00:33        ",,,,,,
0撸项目！0撸项目！0撸项目！请个财神回来每天赚200多，这,https://tieba.baidu.com/p/6496980315,7,"
            00:32        ",,,,,,
如何退保？我想把泰康《鑫福年金》退。,https://tieba.baidu.com/p/6229585506,24,"
            00:08        ",,,,,,
一个保险经纪人的独白--关于自己,https://tieba.baidu.com/p/5780279433,2,"
            00:01        ",,,,,,
免费的挂圈兼职，大量来人，100元一小时，另招代理，需要的私,https://tieba.baidu.com/p/6497396460,0,"
            2-17        ",,,,,,
排在前10位的增加保费的病分别是：乙肝、体重过重、血脂高、肝,https://tieba.baidu.com/p/6496547615,2,"
            2-17        ",,,,,,
#恒大人寿#买保险千万别买恒大人寿，理赔异常困难！,https://tieba.baidu.com/p/6356345654,336,"
            2-17        ",,,,,,
我跟我爱人都是96年的宝宝刚出生没满月的想给全家入份保险，拜,https://tieba.baidu.com/p/6493617481,29,"
            2-17        ",,,,,,
接平安保单理赔，1万以上起，全国都支持。意外死亡需安排食宿。,https://tieba.baidu.com/p/6497410243,0,"
            2-17        ",,,,,,
（车险）大重庆车险询价，各大公司都能出➕ly11744385,https://tieba.baidu.com/p/6491795481,3,"
            2-17        ",,,,,,
招大量兼职，一部手机即可，零费用日赚100-600不等，多劳多得,https://tieba.baidu.com/p/6497320377,0,"
            2-17        ",,,,,,
"异地就医,怎样报销？一文读懂！",https://tieba.baidu.com/p/6497225852,2,"
            2-17        ",,,,,,
泰康惠心保,https://tieba.baidu.com/p/6497295627,0,"
            2-17        ",,,,,,
购买保险，入职保险公司--你必须知道的行业内幕，能劝一个是一个,https://tieba.baidu.com/p/5925366245,261,"
            2-17        ",,,,,,
终于还上了再也不用以贷养贷了 成功↑按,https://tieba.baidu.com/p/6437633957,14,"
            2-17        ",,,,,,
有人帮我看下吗？男27岁，这个平安大福星怎么样，感谢感谢,https://tieba.baidu.com/p/6494610948,32,"
            2-17        ",,,,,,
京东官方社交电商平台东小店马上正式上线了，名额有限，总部直招,https://tieba.baidu.com/p/6497240488,0,"
            2-17        ",,,,,,
意外险，医疗险，有强迫症的人可以买吗,https://tieba.baidu.com/p/6495725324,23,"
            2-17        ",,,,,,
那些年保险公司吹过的牛，挖过的坑（长期连载.）,https://tieba.baidu.com/p/5986104276,80,"
            2-17        ",,,,,,
报到报到,https://tieba.baidu.com/p/6385680769,31,"
            2-17        ",,,,,,
众安百万医疗保险怎么样？值得买吗？,https://tieba.baidu.com/p/6497233638,3,"
            2-17        ",,,,,,
15年的平安福，怎么样？,https://tieba.baidu.com/p/5989648634,49,"
            2-17        ",,,,,,
请问一下信泰超级玛丽2020mAX这款线上保险怎么样,https://tieba.baidu.com/p/6490724001,6,"
            2-17        ",,,,,,
疫情期间开学未知，孩子的学平险脱保了该怎么办😱没关系[愉快],https://tieba.baidu.com/p/6496310330,2,"
            2-17        ",,,,,,
想买家庭团单，哪位大神有家庭团单的在线投保链接？,https://tieba.baidu.com/p/6493748236,28,"
            2-17        ",,,,,,
保险人的信仰:保险是一种力量，一种让爱坚定的力量，让生命更自,https://tieba.baidu.com/p/6493503074,1,"
            2-17        ",,,,,,
实时的爱，隔夜的情，历史的义我有树聚包你们满意绝不会让你们失,https://tieba.baidu.com/p/6497168493,0,"
            2-17        ",,,,,,
母亲55岁，有一个亲戚给介绍了一个保险，感觉这个保险不合适，,https://tieba.baidu.com/p/6488514114,39,"
            2-17        ",,,,,,
怎么买重疾险的，要体检的吗，有了解的吗？,https://tieba.baidu.com/p/6493120878,20,"
            2-17        ",,,,,,
各地人保绑定找我,https://tieba.baidu.com/p/6497029256,0,"
            2-17        ",,,,,,
天安人寿-爱守护至尊保终身重疾产品计划说明,https://tieba.baidu.com/p/6419627330,6,"
            2-17        ",,,,,,
新品上市丨天安人寿幸福源2020震撼登场！,https://tieba.baidu.com/p/6452166766,3,"
            2-17        ",,,,,,
天安爱守护至尊官方说明,https://tieba.baidu.com/p/6227086750,1,"
            2-17        ",,,,,,
天安人寿鑫如意至尊，历史结算6.05%年化。,https://tieba.baidu.com/p/6383583797,7,"
            2-17        ",,,,,,
本来就是嘛，，指导你，全额退处理！！,https://tieba.baidu.com/p/6431074581,8,"
            2-17        ",,,,,,
有没有懂保险的，想买个意外的,https://tieba.baidu.com/p/6494677139,21,"
            2-17        ",,,,,,
有没有买过平安健康险的亲，一年多少钱呀？,https://tieba.baidu.com/p/6495429409,12,"
            2-17        ",,,,,,
【求助】关于金佑人生2014 A款,https://tieba.baidu.com/p/6495017083,7,"
            2-17        ",,,,,,
也不知道现在买那个保险比较好,https://tieba.baidu.com/p/6492853141,29,"
            2-17        ",,,,,,
大家说说农银的康复宝保险怎么样？,https://tieba.baidu.com/p/6493043482,6,"
            2-17        ",,,,,,
保险公司不要脸的代理人，到处胡说八道,https://tieba.baidu.com/p/6496583596,1,"
            2-17        ",,,,,,
给父亲交的，48岁，交满20年一共是214000，保额低吗划,https://tieba.baidu.com/p/6489231343,46,"
            2-17        ",,,,,,
现在是线下主体公司代理人，还可以兼做经纪人吗？,https://tieba.baidu.com/p/6471496000,12,"
            2-17        ",,,,,,
想买份保险，一直在犹豫健康险和重疾险哪个好？,https://tieba.baidu.com/p/6492497747,18,"
            2-17        ",,,,,,
退保险【全额退保】理论上所有商业保险都可以退，我们通过实践得,https://tieba.baidu.com/p/6447645145,15,"
            2-17        ",,,,,,
平安早会的内容，看了之后，你们还会买平安福吗？？,https://tieba.baidu.com/p/6495304926,3,"
            2-17        ",,,,,,
免费赠险免费赠险免费赠险【华夏保险免费赠新冠肺炎保险】特殊时,https://tieba.baidu.com/p/6496832960,0,"
            2-17        ",,,,,,
有大佬讲解保险吗？泰康的。有偿,https://tieba.baidu.com/p/6494569799,18,"
            2-17        ",,,,,,
30-60岁，男性要承受“上有老，下有小”的压力，身体最诚实,https://tieba.baidu.com/p/6496903594,0,"
            2-17        ",,,,,,
今天平安保险直销打电话说＇叫我买福泽两全保险，交十年28%的,https://tieba.baidu.com/p/6041544993,113,"
            2-17        ",,,,,,
各位大哥，中国人寿不给注销工号怎么投诉。我九月中旬因为要在同,https://tieba.baidu.com/p/6363354883,2,"
            2-17        ",,,,,,
专业车险~有需要可以咨询！,https://tieba.baidu.com/p/6496863842,0,"
            2-17        ",,,,,,
南京泰晟，行车安全卫士,https://tieba.baidu.com/p/6496862424,0,"
            2-17        ",,,,,,
网上买保险可靠吗？需要注意什么？,https://tieba.baidu.com/p/6495450327,1,"
            2-17        ",,,,,,
爱心捐赠保险微信扫描二维码→关注公众号→注册→再次扫描二维码,https://tieba.baidu.com/p/6496706100,3,"
            2-17        ",,,,,,
保险，可以咨询我，我可以给你最专业的解答和服务。保险人的信仰,https://tieba.baidu.com/p/6496764970,1,"
            2-17        ",,,,,,
平安车险的自燃险值得买吗？,https://tieba.baidu.com/p/6496778568,2,"
            2-17        ",,,,,,
中保研的车辆测试，真的很客观吗？,https://tieba.baidu.com/p/6496830478,0,"
            2-17        ",,,,,,
保险常识：意外险、重疾险和寿险这三种保险的保额该如何设置,https://tieba.baidu.com/p/6476848958,4,"
            2-17        ",,,,,,
支付宝好医保 保险期限一年（保证续保6年，可续至100岁）什,https://tieba.baidu.com/p/6005765696,40,"
            2-17        ",,,,,,
为什么现在大家喜欢找经纪人买保险？？,https://tieba.baidu.com/p/5860221731,83,"
            2-17        ",,,,,,
达尔文2号重疾险，承保公司：三峡人寿,https://tieba.baidu.com/p/6346329644,23,"
            2-17        ",,,,,,
平安车险的自燃险怎么样？多人买吗？,https://tieba.baidu.com/p/6496772632,1,"
            2-17        ",,,,,,
互助共赢，你帮我我帮你，一起为武汉加油！,https://tieba.baidu.com/p/6496762389,0,"
            2-17        ",,,,,,
如何挑选医疗险？？？虽然医疗险一年保费只有几百块钱，但是医疗,https://tieba.baidu.com/p/6496540665,0,"
            2-17        ",,,,,,
想买个保险，不知道买什么，有谁给推荐下,https://tieba.baidu.com/p/6490636727,61,"
            2-16        ",,,,,,
支付宝里面的这个保险看着不错啊。大家有了解的吗？觉着怎么样？,https://tieba.baidu.com/p/6491102129,34,"
            2-14        ",,,,,,
AI电话销售语音机器人，呼叫中心管理系统,https://tieba.baidu.com/p/6496726745,0,"
            2-17        ",,,,,,
华夏保险守护保防疫险华夏保险守护保防疫险(0-75周岁保障9,https://tieba.baidu.com/p/6487662738,1,"
            2-17        ",,,,,,
轻松筹---新冠状肺炎----★免费领取★----,https://tieba.baidu.com/p/6496621288,3,"
            2-17        ",,,,,,
重疾险有什么好的推荐？,https://tieba.baidu.com/p/6484664804,55,"
            2-17        ",,,,,,
我总结的9个常见的保险违规销售手段1、夸大保险产品的保障责任,https://tieba.baidu.com/p/6496663447,0,"
            2-17        ",,,,,,
中国人寿免费赠送15万新型冠状病毒身故保障，以及80万出行意,https://tieba.baidu.com/p/6478772333,11,"
            2-17        ",,,,,,
中国人寿代打卡,https://tieba.baidu.com/p/6426124758,4,"
            2-17        ",,,,,,
有没有跟我一样空闲时间搞点副业，3-4元一提品牌纸，卖8元一,https://tieba.baidu.com/p/6430475809,23,"
            2-17        ",,,,,,
想在中国人寿买重疾和意外和百万医疗 不知道哪些靠谱,https://tieba.baidu.com/p/6492217682,13,"
            2-17        ",,,,,,
达尔文2号重疾险，各位老师觉得怎么样？,https://tieba.baidu.com/p/6491086708,13,"
            2-17        ",,,,,,
排在前10位的增加保费的病分别是：乙肝、体重过重、血脂高、肝,https://tieba.baidu.com/p/6496485425,0,"
            2-17        ",,,,,,
靠自欺欺人的鸵鸟脑袋，解决不了保险存在的问题,https://tieba.baidu.com/p/6338262851,54,"
            2-17        ",,,,,,
平安e生保（保证续保版2020）保证续保6年！罹患恶性肿瘤，,https://tieba.baidu.com/p/6494492222,5,"
            2-17        ",,,,,,
企业LOGO定制、广告礼品毛巾、赠送客户！！纯棉毛巾、超细纤,https://tieba.baidu.com/p/6472260045,12,"
            2-17        ",,,,,,
保险的复利与基金的复利，哪个增值更快？,https://tieba.baidu.com/p/6404269821,62,"
            2-17        ",,,,,,
想买份健康险，亲们有没有知道健康险哪种最好的？,https://tieba.baidu.com/p/6495467617,13,"
            2-17        ",,,,,,
公安部消息:疫情期间，机动车检验统一向后延期45天，年检到期,https://tieba.baidu.com/p/6495905616,0,"
            2-17        ",,,,,,
保险客户ziyuan越来越多的用户加入保险大军,https://tieba.baidu.com/p/6388130860,4,"
            2-10        ",,,,,,
媒体推广，精准获客，适合各行业，推广，引流，推广范围大到全国,https://tieba.baidu.com/p/6476496952,3,"
            2-17        ",,,,,,
强直性脊柱炎保险公司能赔付吗,https://tieba.baidu.com/p/6201720627,39,"
            2-17        ",,,,,,
想买保险却不知道什么保险好,https://tieba.baidu.com/p/6496263199,1,"
            2-17        ",,,,,,
保险客户少，需要稳定渠道的聊,https://tieba.baidu.com/p/6404515099,2,"
            2-17        ",,,,,,
广告位招商，爱奇艺开屏页，推荐页，播放前，暂停页，抖音第四条,https://tieba.baidu.com/p/6491199884,1,"
            2-17        ",,,,,,
大地天地关爱百万医疗：总额600万！包含300万医疗+300,https://tieba.baidu.com/p/6496295254,2,"
            2-17        ",,,,,,
健康险有必要买吗，买的话怎么买最合适？,https://tieba.baidu.com/p/6495444514,7,"
            2-17        ",,,,,,
大家好！报道了,https://tieba.baidu.com/p/6496284930,0,"
            2-17        ",,,,,,
疫情无情  华夏有爱为抗击新型冠状病毒免费赠送【防疫保险】保,https://tieba.baidu.com/p/6492921760,1,"
            2-17        ",,,,,,
华夏保险给你不一样的情人节,https://tieba.baidu.com/p/6490858532,1,"
            2-17        ",,,,,,
保险咨询探讨群,https://tieba.baidu.com/p/6496193086,3,"
            2-17        ",,,,,,
现金收一家保险代理和保险经纪公司，要一手资源！！,https://tieba.baidu.com/p/6357537579,3,"
            1-23        ",,,,,,
女性健康险有了解过的吗，好不好？,https://tieba.baidu.com/p/6495456427,8,"
            2-17        ",,,,,,
平安的少儿平安福保险怎么样，前两天刚买的,https://tieba.baidu.com/p/6037439631,52,"
            2-17        ",,,,,,
栗子学院快速通过的方法如下,https://tieba.baidu.com/p/6496185886,0,"
            2-17        ",,,,,,
保险各类可拉新,https://tieba.baidu.com/p/6492379135,9,"
            2-17        ",,,,,,
【免费保障计划】疫情当前，轻松保给您特别关爱！今日暖心推出新,https://tieba.baidu.com/p/6496044353,0,"
            2-17        ",,,,,,
我发表了一篇图片贴，大伙来看看吧~,https://tieba.baidu.com/p/6496033325,0,"
            2-17        ",,,,,,
��新冠肺炎保障，免费领取步骤：长按识别二维码→关注官微→打开,https://tieba.baidu.com/p/6496018042,0,"
            2-17        ",,,,,,
交强险与商业三责险的区别有哪些,https://tieba.baidu.com/p/6495999842,0,"
            2-17        ",,,,,,
一张思维导图告诉你怎么有的放矢的买保险,https://tieba.baidu.com/p/6493770476,3,"
            2-17        ",,,,,,
平安e生保（百万医疗）e生保是平安旗下百万医疗产品最高四百万,https://tieba.baidu.com/p/6494513477,8,"
            2-17        ",,,,,,
急用钱，找平安，年底最后几天，需要资金周转的朋友，请随时联系,https://tieba.baidu.com/p/6411244308,5,"
            2-17        ",,,,,,
