用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
小胡的情绪垃圾桶,我在想什么在想的是不被理解不能互相理解在想的是会不会始终都是自己一个人冬天都没有开始我也觉得好冷啊我不知道是对自己很失望还是怎么了好怕得病很多话已经不能说出口了我早就变得不像自己了虽然知道概率应该还蛮小的除了轻生其他的症状都很想已经把我吓到了越来越把自己关闭在自己的空间里已经没有办法安慰自己明天都会好起来的觉得是一个人过这个冬天收起全文d,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年12月25日 13:07
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/6037425932/ImoumhLEr?refer_flag=1001030103_
star心中无别人,补作业补到这个点，还欠了一大堆，同时还有一堆工作白天必须交稿，马上面试了还没把该背的背完，每天这么焦虑会不会得病挂了。。。。辞职两个多月了，每天忙得昏天黑地，和想象中的休息休息一点不一样啊。。。​,会不会得病,1,自己,健康,健康保险,作息不规律,  , ,1,"
                        2019年12月25日 02:59
                        ",小米9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/1692623244/ImkvH3c0G?refer_flag=1001030103_
2019级新用户,就是对期末深深的恐惧紧张焦虑对实验深深的恐惧数据好差一直就在想着睡的真的很晚这样下去不知道会不会真的出事肯定会得病的吧以后十二点一定要抓紧睡觉啊期末马上就要过去了嘤嘤嘤加油�加油冲鸭​,会不会得病,1,自己,健康,健康保险,作息不规律,  , , ,"
                        2019年12月24日 14:00
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/7302709611/ImfpdsLqj?refer_flag=1001030103_
傻到哭的我,笑死我了哈哈哈哈！还在想他老公会不会以为他得病了，就被带去医院了哈哈哈哈哈哈,会不会得病,0,,,,,  , , ,2019年12月23日 19:55,红米Redmi,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/2175199144/Im8j5FgEd?refer_flag=1001030103_
小呆与小逼呆,终于活成自己想要的样子了开不开心惊不惊喜意不意外谁也不要逞强现实生活就是这样爱情亦是如此我被打败了身边的朋友说：我离婚了身边的另一个朋友说：我创业失败了身边另外一个朋友说：我现在欠别人20多万身边还有一个朋友说：我生病了有点重还有一个朋友说：我刚失恋和女朋友分手了离婚创业失败负债得病失恋我统统接受嗯统统接受不放手是对爱情的不尊重是对你爱的人的不负责走吧生活的不堪蹂躏你一个人就够了何苦两个人承受你要让她开心让她快乐你就要接受只是简单的相互理解没有用这是现实生活而不是小学课文的阅读理解理光理解没有用我们的曾经很开心你的未来我不知道会不会更开心但我祝福你开心欠的钱我想短期内我估计还不清我一定努力尽快还现在不是爱人了就不能欠着了因为不是爱人我就没有理由和要求去欠着了你曾经是我的女人是我最爱的女人现在没有能力是真的没能力了我不是一个小气和吝啬的人更不是不努力的人只是现在的我真的被打的很惨以后的生活中我或许都会在你说需要我我有的都会给你这就是我如果有一天不在了那一定是我真的不在了感恩有你小呆很爱很爱你收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年12月23日 13:37
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/6829732345/Im5Pl6Lxq?refer_flag=1001030103_
爱林一9,这是我半年来第一次自拍自拍会不会得病我不知道但我知道恋爱会让人得病我又奶又酷难道不值得被温柔以待吗​,会不会得病,0,,,,,  , ,1,"
                        2019年12月22日 22:14
                        ",全屏双摄 OPPO A5,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=4,https://weibo.com/7339096315/IlZN1rRk3?refer_flag=1001030103_
为什么不喝满糖呢,最近每天都在担心自己会不会得病，一直腰痛会不会变严重，真的有点杞人忧天。想去医院看看，又怕真的生病了诶​,会不会得病,1,自己,健康,健康保险,腰疼,  ,2, ,"
                        2019年12月22日 15:28
                        ",OPPO K1,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=4,https://weibo.com/5319365783/IlX881gYB?refer_flag=1001030103_
张蔷呢,我想远离这个地方，加班加的头疼，会不会得病啊​,会不会得病,1,自己,健康,健康保险,加班,  ,1, ,"
                        2019年12月21日 23:45
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=4,https://weibo.com/5054943550/IlQXeuqMO?refer_flag=1001030103_
羊羊好圆呀,擦这个星期一直在熬夜手机好像长在手上了一样我要戒掉昨天晚上躺在床上想一直吃外卖会不会得病啊结果今天就肠胃不佳了不愧是我身体素质这么差​,会不会得病,1,自己,健康,健康保险,作息不规律,  , ,1,"
                        2019年12月21日 12:14
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=4,https://weibo.com/6289591035/IlMqW0YKj?refer_flag=1001030103_
平常心423324,如果长期这杨焦虑不安心情沮丧压抑时间久了会不会得病​,会不会得病,1,自己,健康,健康保险,焦虑,  ,1, ,"
                        2019年12月21日 10:12
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=4,https://weibo.com/6583078352/IlLDbntgX?refer_flag=1001030103_
aopxbd,哈哈今天猪问我我脸上有粉底液他亲我会不会得病​,会不会得病,0,,,,,  , , ,"
                        2019年12月20日 16:51
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/6938776913/IlEOIl8wB?refer_flag=1001030103_
设计师智文,我发现很多朋友侥幸心理是不是有点太强了，安全措施也不好好做，也不会担心会不会真的得病之类的！嗯？你以为自己是谁，吃了仙丹么？麻烦大家自爱，如果不小心冲动了就去及时去检查阻断，现在HIV检测也很方便，Blued上就可以预约​,会不会得病,0,,,,,7,9,12,"
                        2019年12月20日 16:26
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/3628344065/IlEEwA69b?refer_flag=1001030103_
李书俊是我男神啊,抑郁症其实爸妈几乎决定了我们会不会得病，都是性格原因，中国式家庭的爱很多时候是溺爱，盲目的爱，一步一步让我毁了自己，所以上天派我这个小仙女下凡是注定要把我从一个可造之才逼到绝路吗？哈哈哈哈，我的抑郁真的感觉到大脑损伤太太太严重了，现在感觉打字都挺危险的，关键吃药对于我来说可能没啥用，性格要我小命，明年本命年，以前的我绝对不会想到自己是这样的结局。收起全文d,会不会得病,1,自己,健康,健康保险,严重抑郁,  ,1,2,"
                        2019年12月20日 11:55
                        ",抑郁症超话,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/3908444838/IlCSGmXkH?refer_flag=1001030103_
本少女一定会大方异彩,不太美丽的一天早上起的早早饭在路上解决的上课看了两节课的剧后来去了防艾宣传会然后我就心惊胆战怕自己得病了恐惧贯穿了中午吃饭整个时间，我不断猜想不断害怕。直到精疲力尽我睡着了，醒来之后觉得自己心很大，这也能睡着但是冷静过后似乎也没有那么悲观那么恐惧了选择买了一个自测试纸我不知道也不自信自己会不会是幸运者这是我离死亡最近的一次，我害怕。我渴望生命我还有很多事没做我有梦想，有记挂的家人，有很多没尝试的事，很多没遇见的人，没有看过我最爱的人，没有享受过奢侈的生活，没有游历过这大千世界，没有尝过天下美食。但我还是去背书了，带着恐惧同时羡慕着周围的人，羡慕他们的健康，我怕我没有了虽然还未确定但是我还是很害怕很害怕后来下午去吃了饭，路上看见美丽的夜景和那颗闪耀的星星，我相信那是生的希望，我开心起来了，暗淡的心里射进了一丝光亮澡堂的水很凉，我去的晚。晚上背了不点知识点，想回寝室休息了也快到闭馆时间了，我该走了战战我想你了@X玖少年团肖战DAYTOY收起全文d,会不会得病,1,自己,健康,健康保险,担忧,1, , ,"
                        2019年12月19日 21:37
                        ",荣耀Play 让快更快,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/6487741691/Ilxgp23Gn?refer_flag=1001030103_
王师傅咋这可爱,卸载微博的两天:热质没看完天天睡觉都不安心背公式到凌晨三点睡觉前心脏疼担心了一分钟自己会不会猝死�我真的想要一个亿…乔治说自拍久了会得病然后我俩开始…半夜和我乔找到短暂的快乐考完热质出来看见一个假装流星的飞行器�火速许愿:过过过过过过过过这个冬天我滴小企鹅要赶来见我啦�收起全文d,会不会得病,1,自己,健康,健康保险,作息不规律,  ,3,5,"
                        2019年12月19日 16:21
                        ",HUAWEI nova 3,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/1786619101/Ilvc9CrJx?refer_flag=1001030103_
用户钟灵毓秀0430,住院72天卖了两套房，中国式破产只是一场大病而已[流泪]不可怀侥幸心理。思考几个问题①人会不会生病？②生病要不要花钱？③如果要花钱，是提前预防花的多，还是得病以后住院�花的多？预防大于治疗！2宝鸡·眉县L用户钟灵毓秀0430的微博视频​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年12月19日 16:03
                        ",vivo Y81系列,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/6764050997/Ilv4Y0B1l?refer_flag=1001030103_
国産翻车鱼丸小一,看到第一行字我就开始咯噔：我孩子会不会得病啊？​,会不会得病,1,孩子,健康,少儿保险,担忧,11,3,38,"
                        2019年12月19日 13:57
                        ",�iPhone XS Max,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=5,https://weibo.com/5040400421/IlufH8iob?refer_flag=1001030103_
戴维_先森,//@rebornfrom201904://@桂A糖先森:评论区是社会歧视艾滋病的真实写照。贴标签、人身攻击，自己因为概率优势没有得病，却要在道德高点上指责其他人恶俗。一个拒绝病人的护士因为没有应有的知识和职业素养离职了，众人却说是病人的问题，换作她是消防员怕死不去救火，众人会不会说被困火场的人活该你邻,会不会得病,0,,,,,  , , ,2019年12月13日 19:29,小米6 拍人更美,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=6,https://weibo.com/1734530730/IkBRpg30K?refer_flag=1001030103_
机子bangbangbang,为什么回到家想安静的发呆也要接收一大堆意见，我已经非常认真的说了不要跟我讲话了，我不想知道谁给我买了把伞我喝饮料会不会得病不穿拖鞋会不会冷我只想发呆，放过我吧，这个让人非常不快乐的世界​,会不会得病,0,,,,,  , ,1,"
                        2019年12月17日 19:29
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=6,https://weibo.com/2274842182/IldzojrXJ?refer_flag=1001030103_
琉璃瓦上晴,`,会不会得病,0,,,,,  , ,1,"
                        2019年12月17日 08:41
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=6,https://weibo.com/3056007513/Il9kvi3lC?refer_flag=1001030103_
Di调吖頭,思绪一直处于飘忽状态，一直都在想被公司坑，会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年12月16日 09:53
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/2312955131/Il0n7Ab4h?refer_flag=1001030103_
