博文,发文时间,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4
"河南农民裸捐15万!你想知道的所有真相都在这里，请签收你的关注

　　至善在心

　　河南日报农村版记者 宋朝 冯佳志

　　荆小银从口袋里掏出自己的手机，是一款有棱角有厚度的老年机型，除了接打电话，与当下的互联网并不沾亲带故。

　　即便来了几拨记者，荆小银和他的老伴王小丑还没有弄清楚什么是网红。

　　2月10日中午一点过了，荆小银老两口午饭还没有吃到嘴里。王小丑问村党支部书记荆国伟：这些人都是弄啥哩，问这问那的?

　　荆国伟说，管他问啥哩，你有啥说啥就是了。

　　一、大写的河南农民!武陟农民捐出平生积蓄15万元!

　　2月9日晚上7点，河南日报农村版今日头条官方账号推送了一条消息：焦作市武陟县嘉应观乡东营村67岁的农民荆小银和69岁的老伴王小丑捐出了全部积蓄15万元给村、乡、县，希望这些钱能够帮帮国家，赶紧把得新冠肺炎的病人治好。

　　河南农民战“疫”裸捐炸屏、霸屏，很短时间内，网友评论达到400多条。

　　除了敬重、佩服，有人说“该捐不该收”，有人说“病了没钱怎么办”，有人说“会不会捐完就后悔了”，有人怀疑是“高手策划”，但所有的这些，荆小银都不知道，他和王小丑睡的很安稳：“自从把钱捐出去以后，我就终于能踏踏实实睡了!”

　　二、荆小银说要捐15万元，荆国伟吓了一跳

　　2月8日下午，荆小银用电动车拉着患双侧股骨头坏死多年走路都要柱棍的王小丑到东营村党支部找到了党支部书记荆国伟。

　　“老两口说看大家村口值班很辛苦，也要捐俩钱，我说行，捐俩就捐俩吧，谁知道他掏出来5000块钱，我说你有个意思就行了，他两口不依!”荆国伟说，临走的时候，荆小银把他拉到一边，说他还准备给乡里捐点、给县里捐点，把家里的钱都捐了，大数是15万吧，这可把荆国伟吓了一跳。

　　“我也吓了一跳!”嘉应观乡党委书记韩剑说：大概下午四点，他接到了荆国伟的电话，说荆小银捐钱的事，他赶紧和县里慈善协会联系，慈善协会的同志在电话里说：如果是真的，你们乡里就安排个捐赠仪式吧。

　　当天晚上，荆小银真把钱送来了。

　　三、捐钱的事，老两口初五就定下了

　　“今年这情况，都不能走亲戚，我在电话里给孩子闺女都说了，不让他们回来。年初二，我出去转转，冷呵呵的，各个入村口都在量体温、消毒，看着辛酸!”荆小银说。

　　荆小银家2009年新修了主房，一层平房上面是用拆下旧房的梁、檩、椽子以及砖瓦搭的坡屋二层，平常人家是放杂物的，但也能住人。

　　王小丑的病怕湿寒，荆小银就把二层拾掇拾掇，变成了老两口的主要生活区。

　　“过年这几天，天天看新闻，看着武汉的病，心里难受。”王小丑说：初五晚上，我睡不着，对当家的说，这么大的事，咱也出不上力，干脆给国家捐点钱吧!当家的问捐多少，我说能捐多少就捐多少吧!

　　荆家的钱不存银行，都用塑料袋装了放在荆小银床里边枕头边上。

　　荆小银说，当时他拉亮灯，抖开一个个塑料袋数了数，给老伴说能捐15万。

　　四、每一张钱上都有汗渍和孝心

　　“2009年盖这房子的时候，我娘家哥、弟和侄子还给我送来了两万多，过了两年吧，这钱才还完。”王小丑说。

　　荆小银身体好，闲不着，连年都跟着邻村的牛向林南南北北搞建筑：“我没啥手艺，和灰、搬砖，是个小工;早年一天七八十块工钱，现在一天一百三四了!也行，去年一年干了二百来天，工地上管吃管住，净拿回来了两万六!”

　　荆小银有一个儿子两个姑娘：“农民嘛，日子都还过得去，都在武陟县城买了房子，儿子的房子还有贷款，好像也不多”。荆小银说，孩子们都孝顺，逢年过节都给钱，年前儿子送回来两千多，俩闺女送来了小三千了!

　　69岁的王小丑每月发的农保钱是126.74元，她残疾二级，每月发60块，超过67岁了，武陟地方政府还每月发39块钱的补贴;荆小银67岁，今年还没领到这39元，他的农保收入是每月121.88元。

　　“我还有7亩地，一年国家发700多粮补;种一季小麦一季玉米，除了本钱，一年能卖七八千块钱吧!”荆小银说。

　　15万就这么攒起来的。

　　五、只要老人快乐，他们怎么着都行

　　“一说捐这么多钱，我当时真愣了，一转身就给他儿子荆红亮拨了电话，问他知道不知道这事。他儿子说知道，他爹给他说了，他当时的态度是只要俩老人心里高兴、快乐，咋着都中!”荆国伟说。

　　荆小银的两个女儿也知道这事，都说中。

　　荆红亮还把这事给在南京上大学的儿子说了，他儿子还夸爷爷觉悟高呢!

　　给县里捐的108800元这个数字，是荆小银和王小丑俩人商量着定的：“想着是个吉利数字，希望国家顺当吧!”

　　乡里捐了35000元，也是老两口定的：“早先老两口送来了5000块钱，后来又送来1200块钱，给我说凑个整数吧，正好15万!”荆国伟说。

　　韩剑说起这事有点动情：要说咱自己捐个三万五万的，也不是拿不出来，可他挣个钱存个钱多不容易，居然都捐出来了，还不是脑子一热捐出来的，还是深思熟虑捐出来的，这种精神咋不让人感动!

　　六、荆小银家充100块钱电费，半年都用不完

　　荆小银常年不在家，王小丑的生活很简单。

　　“我得病20年了吧，活动少，这也不吃那也不吃，院子里种的菜吃不完;下楼不方便，有时我就煮个苹果、磕个鸡蛋、冲点奶粉。”王小丑说。

　　荆家的洗衣机还在楼下，没用过;儿子送回来的电冰箱只在过年的时候开几天;电灯都是5瓦的节能灯;楼上的两个小吊扇也不常开;一台很小的平板电视算是他们家利用率最高的电器了。

　　“原来我记得一个月一块钱电费，最多五块钱，电工都说俺家的电表不转圈!”荆小银说，现在好像多了，电工说充一百块钱电，随便用半年也用不完!”荆小银说着自己都笑了。

　　别看荆小银不常在家，下楼不方便的王小丑并不孤单。

　　白玉贞、周玉平、成保珍都和荆家住的不远。

　　72岁的白玉贞说：我们几个见天都要来一回，说说话，扫扫地，洗洗涮涮，都好多年了!亲着呢!

　　成保珍说：俺乡下人嘴拙，只能说，这家人真是好，心善!

　　网民提出了很多问题，转述给荆小银后，这个普通的老人做了最朴素的回答。

　　你捐了钱不怕别人乱花吗?

　　荆小银：人心都是朝下长的，怕他们贪污就不给他们了。

　　你捐完了将来有病了怎么办?

　　荆小银：我身体很好啊，再干几年，钱不就挣来了嘛!再说了，孩子们都孝顺，还能没爹娘一口吃的。

　　不知道两个至善之人现在还有没钱?

　　荆小银从床头拿出个塑料袋认真地数了数：3320元

　　但荆小银不知道网上有这么一句话：河南，大事从未输过。⑥ 收起全文d",02月11日 03:50,会不会得病,0,,,,
#总怀疑自己得病怎么办# 自己从23号放假一直在家也没出门，但是咳嗽了，整天看网上说症状老觉得自己是不是中了会不会有问题，看了医生说只是感冒🤧但是还是好怕 ​,02月11日 02:20,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#很担心自己生病被隔离了 会不会有一群人冲进我家里把我的狗带走 ​,02月11日 02:15,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#大年初一出门吹风又淋雨，然后晚上开始流鼻涕喉咙痛又引发了咽炎咳嗽，咳的那叫一个停不下来，我慌了吗，我慌了吗，我慌了一天恨不得分分钟量体温那两天我都刻意一点多才起床，和爸妈吃饭时间隔开后来晒了太阳鼻涕好了，但是咽炎咳嗽没那么容易好，然后就要去值班上班了，我自己都怕会不会有病传染别人直到这两天咳嗽也有点稳定了才稍微有点安心（ps：每天上下班路上七八次的量体温其实给了自己很大的安全感） 收起全文d,02月11日 00:03,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办# 熬夜追剧头疼脸不舒服的时候怀疑自己会不会中风 还有一个是老怀疑自己是不是得了阑尾炎 2通辽 ​,02月10日 23:57,会不会得病,1,自己,健康,健康保险,
感觉最近这世道就是大写的凭运气做动车高铁飞机是不是安全凭运气究竟怎么传染到底会不会得病凭运气连网上买水果看评论都觉得能买到的是好的还是坏的也得凭运气 ​,02月10日 23:33,会不会得病,0,,,,
#总怀疑自己得病怎么办#是我了，怕被传染，一咳怀疑自己是不是潜伏期，担心会不会传给别人 ​,02月10日 22:52,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#日常念叨疫情啥时候过去我啥时候能开学去吃火锅麻辣烫螺蛳粉我晚上总是莫名其妙头脑发热会不会有病啊 ​,02月10日 22:09,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办# 真的是要被自己吓死了，昨天中午开始有点儿咳嗽，嗓子还疼。就各种被害妄想症觉得会不会被传染了实在怕了在微博问了下医生，说可能是咽炎哎…在家憋着还莫名恐慌…怎么办呀… ​,02月10日 22:07,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#是我，出去全副武装回来到处喷75%酒精然后洗头洗澡洗衣服还担心会不会被感染 ​,02月10日 22:07,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#年初二的时候我感觉全身乏力，肌肉酸痛，然后问我姐会不会坐车被感染了。然后，我姐说:“你试下不要每天上午睡到11点，下午睡到4点。 ​,02月10日 22:00,会不会得病,0,,,,
终于出去买点东西  从一群围在一起聊天的人旁边经过  回来后异常恐慌 感觉到处都是细菌  一度怀疑自己会不会染了病毒#总怀疑自己得病怎么办# ​,02月10日 21:59,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办# 咳嗽咳了大半个月了都不好，总是害怕自己会不会得冠状肺炎…… ​,02月10日 21:52,会不会得病,1,自己,健康,健康保险,
老是醒来头痛，假太长止痛药都要吃完了，搜了好久被感染会不会只有头痛症状最后发现可能是玩手机时间太长姿势不良+睡太晚而已[米奇大哭]#总怀疑自己得病怎么办# ​,02月10日 21:40,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#我之前发微博说我结膜炎犯了，有网友评论说自己也是结膜炎，会不会是得了肺炎…… ​,02月10日 21:33,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#被逼的终于回来复工隔离了，从火车站一路瑟瑟发抖，就怕自己会不会粘上 2盐城 ​,02月10日 21:31,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办# 前几天点了奶茶外卖，担心自己会不会感染，失眠了一晚上 ​,02月10日 21:25,会不会得病,1,自己,健康,健康保险,
靠，头疼，想睡觉，但是又得工作。。。第一次这么害怕自己会不会得病。。。 ​,02月10日 21:15,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#太真实了，一天到晚每个小时都回想刚刚那一小时我接触了啥，会不会有机会接触到病毒，然后喷酒精，可能真是干啥啥不会，怕死第一名 ​,02月10日 20:40,会不会得病,1,自己,健康,健康保险,
今天开始上班了，和同事说最多的话可能就是：“我是不是发烧了”“我好像发烧了”“我怎么感觉我额头那么烫”“我嗓子有点哑了，怎么办” “我会不会要被隔离了”“隔离一点多公里确诊了一个，完了完了”……………#总怀疑自己得病怎么办# 好吧，门卫处体温36.5 2广州 收起全文d,02月10日 20:38,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#是真的！我每次咳一下就好怕 然后赶紧深呼吸一下看看会不会痛我坐久了就觉得胸闷然后去阳台走一会就好了 总结一下 都是闲的 ​,02月10日 20:33,会不会得病,0,,,,
#总怀疑自己得病怎么办#刚开始太过焦虑了我也总怀疑自己会不会被感染，晚上都睡不好。后来觉得这样不行，就尽量不去看太多疫情新闻，去看点开心的。然后我就快快乐乐追剧追星，下一站是幸福，蓬莱间，庆余年，还有哥哥的各种物料，很快就把这事给忘了 ​,02月10日 20:32,会不会得病,0,,,,
#总怀疑自己得病怎么办# 自信点，不要怀疑，你就是得病了睡觉一整天，感觉头昏昏沉沉要爆炸了一样，可能是神经衰弱。看手机一整天，感觉视线模糊，眼睛是不是又要瞎了。躺在床上一整天，感觉浑身乏力，会不会是得病了。吃了一整天的东西，也不想拉粑粑，会不会是便秘了。一直有小便的冲动，会不会肾有问题了。坐了一整天，浑身酸痛，会不会有腰椎间盘突出。我姐说：你不是得病了，你是瘫痪在床了！ 收起全文d,02月10日 20:25,会不会得病,0,,,,
#总怀疑自己得病怎么办#   每天在想自己好像温度有点高，喉咙有点疼，会不会得了肺炎快工作半个月了，什么时候能休息啊→_→能被隔离好像也是幸福的 ​,02月10日 20:06,会不会得病,0,,,,
#总怀疑自己得病怎么办#家里人一咳嗽，我想会不会是……每天自己头疼，也猜想会不会是今天早上醒来咽痛，又怀疑是不是……感觉自己已经神经质了 ​,02月10日 20:05,会不会得病,1,自己,健康,健康保险,
#总怀疑自己得病怎么办#我不是怀疑自己……我总怀疑我爸妈会不会得病，咳嗽我都怀疑 ​,02月10日 20:02,会不会得病,1,父母,健康,健康保险,
#总怀疑自己得病怎么办#这两天接触的新闻太多了确实焦虑了，打个喷嚏，或者胸闷了都感觉会不会是得病了，越到晚上越郁闷，深夜刷微博都感觉自己不行了，上次无聊测了一下感觉问题真的很大 ​,02月10日 19:49,会不会得病,1,自己,健康,健康保险,
你确定都理解对了吗？你不商量的事情你父母过来你也不商量，只让我配合你们的时间你父母说的结婚日期你借钱买保险你买车你借钱给朋友你去贵阳你第一次租房子一次一次我都是最后被告知的那个人，在你看来，我是不是能不能接受，我是必须接受，我不是能不能做到，我是应该做到，你有尊重我，体会我的感受吗？我有哪一次阻止你做什么事吗？你都不用和我商量，你昨天和你父母是怎么说的，我爸说了，我只能2月5间和8月间结婚，我们两肯定是不能年前结婚，你爸妈着急忙慌地过来这个事情也是实现不了的，而且昨天你爸打电话和我爸说，就已经有些小不愉快，我昨晚解释了半天，在我二叔家，我妈问你，你了一会儿，你没回我妈，对你坐在前面的人讲，我妈一个人坐在那里，一句话也说不上来。这次见面，你把很多事情都想得很简单，这么急，如果谈不到一起，怎么办！我制定规则婚前婚后你不能强迫我所以，婚后这财务还是清晰明白的好，建议如下：     （1）两个人的工资、外快、投资收入统一管理，往外花钱的规则要商量出一套大原则和执行技巧，有进有出有结余。     （2）家里大项开支有报批决策机制，未来财务有规划，应急开销有预案。     （3）平常家庭日常开销有流水账，每月汇总数据，两个人都要心里有数。     （4）个人大项开销需求提前申请，申述理由，统一意见以后执行。     （5）留出夫妻个人一定比例的自由支配金额，还有家庭的幸福存折。 2黔西南布依族苗族自治州·兴仁县 收起全文d,02月11日 15:32,我是不是应该买保险,0,,,,
昨天的梦第一个梦梦见高中寝室 我们早上起床就开始讨论王者荣耀 我下床之后 小卢说裴擒虎好玩 我就特别惊讶 说“你还会打老虎呢？打野可难了 我打野没意识 ” 然后进来了两个学长（现实中没见过）说来检查女生宿舍的整洁程度 我把我装满零食的柜子打开 骄傲的说 “哥哥你看 我的柜子是不是你见过最干净的女生的柜子” 我柜子里好多沙琪玛 一打开还有一大袋差一点点滚出来 然后那个两个哥哥就开始跟我们讨论王者荣耀第二个梦梦见我发现了一张办公桌可以穿越回很久以前 一个经济很低迷的时代 那个时代的有钱人流行的投资方式就是去买保险然后骗保 而且由于保险行业发展还很不完善 大家都知道骗保这事的存在 但是没办法查处 那个办公桌在的地方就是以前一个保险公司 这个办公桌在的位置以前也摆着办公桌 这个保险公司后来因为被骗保而破产了 然后全公司的人都自杀了 所以这个公司在的位置阴气特别重 才会有这种穿越的情况发生然后我就躺在办公桌上 穿越回了以前 现代有人一直跟我保持着联系（好像是蓝牙耳机还是什么方式我忘了）我回去之后就说我要买保险 看见一个有钱的大帅哥也来买保险 应该是准备骗保 手里还拿着一袋瑞士莲 还看见六日了 （也不知道六日为什么也在）我和六日去跟大帅哥搭讪 大帅哥给了六日蓝色的瑞士莲 他自己拿了黄色的 然后问我要什么颜色 我说我最爱吃红色的 他开心的说 那我们可以当好朋友（不知道这是什么逻辑） 然后我们就因为分享巧克力成为了好朋友 一起去买保险由于我穿越过去 一点钱没有 我就装着有钱人说我忘记带钱了 大帅哥帮我给了钱 我买到了保险 但是还没来得及骗保 就穿越回去了中间还出来了一个查骗保的警察 他过来问我们三个一些问题 由于我们给他吃了瑞士莲他觉得我们不像坏人 问了几个简单的问题问完就走了我回去之后 跟我一直联系着的现代技术人员跟我说 穿越系统出了毛病 现在不能穿越回刚刚那个时代了 现在可以穿越的时代是马上那个公司就要被骗保然后破产了于是我就决定再穿越回去把我的保险给退了（我也不知道我买的个什么保险为什么还能退）（因为我买保险花的大帅哥的钱 退了保险我也能拿到当初买保险的一大笔钱）然后那个技术人员很担心地问我 说现在可以穿越过去的那个时代只说法语了 你这个法语水平 没法退保险啊 我就说你让我试试 我有办法 我就又躺在桌子上穿越过去了 一过去我就开始嚎啕大哭 希望员工可以理解我要退保险的意思然后醒了 （我果然是个坏女人 一般什么超级英雄穿越回去都会去拯救这个公司 挽回一下损失 我知道人家要破产要自杀 我还要去骗他们钱） 收起全文d,02月11日 00:28,我是不是应该买保险,0,,,,
今日感觉联合国是不是应该出售保险啊，这样中国有难，国外报销，这样方可度过难关，以后给孩子买保险，即要买国内的，也要买国外的，双重保险 ​,02月08日 22:50,我是不是应该买保险,0,,,,
"R1SE ⚡️ #没有人比r1se更爱r1se#
壶妹们，每人来一句团综里戳你笑点的话吧
（虽然我壶说的每一句话都是梗哈哈）😂
我的话Emmm（排名不分先后，就随便写一点）
❤️周震南
“你就是个猪”hhhhh（弟弟的口音真的说啥都能笑死我）
-“你莫管”
-“好嘛，那个绿色在哪里嘛”
❤️任豪
“一分钟两百万的我”
-“工作你的呗”
-“拿50块给他霍霍吧”
-“除暴秦，诶，这不sí cuān话吗”
-“把你揍cén二锅头”
❤️张颜齐（每次都能笑死我哈哈哈哈）
“星星向人？狒狒像人！”
-“男孩和女孩不好我哭了，太阳和月亮不好我炸了”（我也笑炸了）
-“给我p掉…¥&%dbhdhdjd”
-“浪奔，浪流…我才是老大”
-“呵，我不买保险”
❤️翟潇闻
“翟潇闻你有驾照吗”
“有，我们小区的儿童驾照”
-“我把他们当兄弟，他们想当我女婿？”
-“生旦净末你”
❤️赵磊（可爱的声带模仿&魔性哈哈哈）
“对不起我是大sé头”
-“我还是去看看吧，哈哈哈哈哈哈哈哈哈”
-“先生买房吗…学区房…”（小机灵鬼hh）
❤️赵让
-做新菜“咸鸭蛋炒蛋”
“别吧，不行，不好”
-“我是！赵呀呀呀呀呀呀呀让”
-“我上啥，我啥都不会”（可爱si了）
-“你会玩牌吗你”
❤️何洛洛
“你可以先把馅煮熟……像吃烤鸭一样”
（其实我觉得很可取哈哈）
-“咸鸭蛋炒蛋”
-“你为啥老做蛋饼，你就会做蛋饼是不”
“不一样，做功不一样”（你可爱，说啥就是啥）
❤️刘也
“我说要做辣椒炒肉他这小表情给我使得”
-“咋滴你是老大呀，跑这指挥来啦，说话！”
-“老师我这样是不是特像宫女”
❤️姚琛
“收汁”hhhh
-大摆锤
“3……3…应该是5吧”😂
❤️夏之光
模仿东北话和四川口音真的笑惨我
“脚丫子给我拿下去”
❤️焉栩嘉
“做啥zèi”（四川口音哈哈哈哈哈）
-“如何干掉一条强吻你的鱼”（记不清了，好像是“干掉”😂）
-“让你买拆弹器你不买”
【好了我要收手了，越写越多哈哈哈】
以下时间交给你们👇

@R1SE官博 收起全文d",02月08日 18:57,我是不是应该买保险,0,,,,
✏️#学点保险# No.41 疫情期间还推保险，会不会招人烦？关于这个问题，可以说是我最近半个月来一直在思考的一个问题。疫情之下，人心惶惶，任何销售行为都变得敏感，一个不小心，一段话几个句子，如果被误读，或过分解读，都可能对自己造成打击。特别是对保险这个产品来说，本身比较特殊，多年来信誉差信任度低，在当前这个特殊形势下，用词不当，角度不对，不客观理性，很容易就被人扣上“贩卖恐慌”“发肺炎财”的骂名。保险对我来说是一种美好生活方式，有了保险，我就心不慌有底气，就比如今天早会得知公司为我们每一个代理人增加了【特别慰问金】：确诊感染新型冠状病毒肺炎5万，因感染不幸身故追加40万。立马就好像吃了定心丸，没那么慌了。因为我本身高度认可保险，觉得保险非常好，买保险时想到的都是美好的事，并且身处这个行业，对保险信息有很多的了解渠道，所以看到朋友圈里同行发各种关于保险的信息，我都能理性分析，能够辨别哪条是真哪条是假。根据这些不同的朋友圈内容，我一直在给各个同行打分，做不同的标签，不断告诫自己，那些让我反感的内容，我坚决不要发，那些让我觉得一直发low内容的人，直接设成不看他朋友圈或者将其删除。在做这些动作的过程中，我也在思考，我到底想成为什么样的保险代理人？我应该用什么方式来传播保险知识？我要不要推保险产品？我怎么做才不会让别人对我竖起藩篱？通过这两天遇到的咨询来看，人们对保险是有需求的，来咨询我的朋友基本都是主动来问我，我没有强促的动作，因为我始终觉得，一定是需求激发购买，没有需求的促单都是无用功。来咨询的朋友说一直在默默关注我的朋友圈，我发的#学点保险#她每篇都有看，觉得我的朋友圈内容和别的卖保险的不一样，通过我写的#学点保险#，她对保险的认识一点点增多，头脑里慢慢对保险有了清晰画像，所以就对保险生出兴趣想要再多了解了解，并且觉得我不会给她太多压力，于是主动想和我聊聊。所以，我就此觉得，不管是不是在疫情的特殊时期，保险都是没错的，错的是我们推的方法，是不是客观，是不是真实，是不是值得信赖，是不是提供了充足有效的信息让别人自己做决定。唯有方法正确，产品才能有效触达到有需要的人，唯有如此，才既做了正确的事，又不招人反感，互惠互利，赢得尊重。关于这一点，以后要保持每日三省吾身，随时纠正。是以为记。 收起全文d,02月04日 23:04,我是不是应该买保险,0,,,,
没有被动收入的小伙伴这段时间是不是慌了？我们啊一定要进行资产配置，什么是资产配置呢？资产配置就是对自己的资金在各个资产之间进行合理安排的一个过程。能做到进可攻退可守，前攻后防，做好合理的资金安排，在突如其来的风险面前也能保障家庭财务的稳定，不影响正常生活，又能够不断的让钱生钱，逐步实现财务自由。下图叫做标准普尔家庭资产象限图，在这张图上，把钱的用途分成了四份：要花的钱、保命的钱、生钱的钱、保本升值的钱。这张图告诉我们一个家庭的钱应该分成以上四个部分。第一部分钱用来作为短期消费。第二部分钱应该用来买保险，作为家庭的保护伞~剩下的钱可以用来投资，一部分追求稳定可持续的收益，而另外一部分资金可以用来买高风险资产，追求高收益。如果大家都进行了资产配置，那么在这段时间就并不会出现为还房贷，车贷，交房租等问题焦虑的情况了#资产配置# 收起全文d,02月03日 16:54,我是不是应该买保险,0,,,,
